 Substance:BZO200d       2023/12/04 18:04:07                     
 Input files: ./data/bzo200d_n0001.dat to ./data/bzo200d_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     450000000 cell pairs, j_rand           5
 Supercell size:          32          32          32
 Unit cell parameter:   4.19393730       4.19393730       4.19393730    
 Atoms/unit_cell:           5
 Atoms  :    Ba      Zr      O1      O2      O3  
 Atom no.        1       2       3       4       5
 Occups:   0.2000  0.2000  0.2000  0.2000  0.2000
 Weights: Neutron          0.5070  0.7160  0.5803  0.5803  0.5803
 Masks	:        1       1       1       1       1
 Smoothing FWHM [Å-1]   9.38349068E-02

 Output: S(Q)
 Partials index        1  1    1  2    2  2    1  3    2  3      3  3    1  4    2  4    3  4    4  4      1  5    2  5    3  5    4  5    5  5
   Q [A-1]   Total       Ba_Ba   Ba_Zr   Zr_Zr   Ba_O1   Zr_O1     O1_O1   Ba_O2   Zr_O2   O1_O2   O2_O2     Ba_O3   Zr_O3   O1_O3   O2_O3   O3_O3
   1.548    1.324     0.395  -1.301   0.789  -0.318   0.622     0.514  -0.307   0.630  -0.377   0.521    -0.305   0.683  -0.365  -0.360   0.503
   1.572    0.905     0.214  -0.782   0.418  -0.185   0.428     0.282  -0.174   0.452  -0.222   0.277    -0.170   0.499  -0.199  -0.200   0.267
   1.595    0.524     0.052  -0.321   0.085  -0.063   0.255     0.074  -0.056   0.294  -0.079   0.058    -0.050   0.326  -0.051  -0.055   0.055
   1.619    0.253    -0.062  -0.010  -0.147   0.026   0.136    -0.070   0.025   0.187   0.023  -0.094     0.031   0.197   0.053   0.049  -0.092
   1.642    0.112    -0.119   0.137  -0.263   0.074   0.076    -0.143   0.065   0.136   0.079  -0.167     0.069   0.124   0.105   0.103  -0.164
   1.666    0.070    -0.133   0.161  -0.288   0.089   0.061    -0.160   0.075   0.125   0.096  -0.180     0.074   0.095   0.117   0.117  -0.178
   1.689    0.079    -0.124   0.131  -0.266   0.086   0.066    -0.150   0.070   0.130   0.092  -0.161     0.066   0.090   0.106   0.107  -0.164
   1.712    0.093    -0.112   0.098  -0.238   0.078   0.074    -0.137   0.066   0.134   0.084  -0.139     0.060   0.091   0.090   0.089  -0.145
   1.736    0.090    -0.107   0.084  -0.226   0.073   0.077    -0.134   0.069   0.131   0.080  -0.128     0.061   0.091   0.081   0.075  -0.138
   1.759    0.066    -0.110   0.083  -0.232   0.074   0.076    -0.140   0.079   0.125   0.082  -0.132     0.069   0.090   0.079   0.065  -0.141
   1.783    0.033    -0.116   0.083  -0.246   0.075   0.075    -0.150   0.089   0.121   0.085  -0.144     0.077   0.092   0.082   0.060  -0.150
   1.806    0.003    -0.118   0.079  -0.254   0.076   0.076    -0.155   0.093   0.118   0.084  -0.154     0.077   0.096   0.084   0.058  -0.156
   1.830   -0.015    -0.115   0.076  -0.249   0.073   0.077    -0.153   0.091   0.114   0.077  -0.156     0.068   0.099   0.082   0.056  -0.154
   1.853   -0.022    -0.109   0.079  -0.236   0.069   0.077    -0.146   0.083   0.105   0.068  -0.152     0.055   0.099   0.077   0.055  -0.147
   1.877   -0.026    -0.105   0.079  -0.225   0.068   0.078    -0.141   0.075   0.096   0.062  -0.149     0.045   0.100   0.072   0.059  -0.142
   1.900   -0.037    -0.109   0.063  -0.231   0.074   0.086    -0.147   0.074   0.091   0.065  -0.155     0.046   0.107   0.073   0.070  -0.146
   1.924   -0.058    -0.122   0.026  -0.254   0.084   0.103    -0.163   0.080   0.097   0.078  -0.171     0.058   0.122   0.080   0.085  -0.162
   1.947   -0.076    -0.133  -0.009  -0.275   0.091   0.117    -0.177   0.086   0.105   0.090  -0.185     0.072   0.136   0.084   0.096  -0.176
   1.971   -0.059    -0.123   0.016  -0.253   0.080   0.107    -0.162   0.075   0.095   0.084  -0.170     0.070   0.127   0.071   0.088  -0.163
   1.994    0.029    -0.069   0.168  -0.142   0.034   0.046    -0.091   0.030   0.039   0.037  -0.096     0.032   0.067   0.023   0.042  -0.092
   2.017    0.211     0.044   0.489   0.087  -0.056  -0.082     0.054  -0.058  -0.079  -0.061   0.054    -0.053  -0.061  -0.072  -0.051   0.055
   2.041    0.474     0.207   0.957   0.419  -0.183  -0.266     0.264  -0.185  -0.253  -0.204   0.270    -0.179  -0.248  -0.209  -0.184   0.268
   2.064    0.764     0.388   1.479   0.785  -0.323  -0.467     0.496  -0.324  -0.446  -0.364   0.508    -0.320  -0.457  -0.361  -0.332   0.503
   2.088    1.004     0.538   1.914   1.088  -0.440  -0.629     0.690  -0.439  -0.605  -0.497   0.705    -0.439  -0.632  -0.489  -0.456   0.697
   2.111    1.123     0.611   2.129   1.236  -0.499  -0.701     0.785  -0.494  -0.679  -0.563   0.799    -0.500  -0.720  -0.554  -0.518   0.791
   2.135    1.086     0.584   2.059   1.180  -0.480  -0.660     0.753  -0.470  -0.646  -0.540   0.762    -0.482  -0.695  -0.534  -0.498   0.754
   2.158    0.907     0.467   1.727   0.941  -0.390  -0.522     0.604  -0.375  -0.518  -0.434   0.605    -0.393  -0.569  -0.434  -0.402   0.600
   2.182    0.642     0.296   1.242   0.594  -0.258  -0.330     0.386  -0.238  -0.337  -0.280   0.380    -0.260  -0.384  -0.285  -0.261   0.377
   2.205    0.363     0.120   0.745   0.238  -0.121  -0.139     0.161  -0.101  -0.154  -0.123   0.151    -0.124  -0.193  -0.131  -0.117   0.151
   2.229    0.131    -0.020   0.353  -0.045  -0.012   0.008    -0.018   0.003  -0.011   0.000  -0.030    -0.015  -0.040  -0.009  -0.006  -0.026
   2.252   -0.018    -0.106   0.123  -0.214   0.053   0.093    -0.126   0.060   0.073   0.071  -0.138     0.050   0.053   0.064   0.057  -0.131
   2.275   -0.079    -0.139   0.039  -0.278   0.080   0.121    -0.167   0.077   0.104   0.095  -0.177     0.078   0.088   0.091   0.078  -0.168
   2.299   -0.071    -0.138   0.042  -0.273   0.086   0.112    -0.165   0.072   0.100   0.092  -0.173     0.084   0.083   0.093   0.078  -0.163
   2.322   -0.026    -0.124   0.071  -0.242   0.085   0.091    -0.148   0.064   0.082   0.083  -0.153     0.084   0.061   0.088   0.075  -0.144
   2.346    0.016    -0.111   0.089  -0.218   0.084   0.077    -0.134   0.061   0.068   0.077  -0.137     0.086   0.044   0.083   0.077  -0.131
   2.369    0.024    -0.107   0.093  -0.212   0.082   0.081    -0.134   0.058   0.070   0.072  -0.133     0.085   0.044   0.077   0.079  -0.132
   2.393   -0.011    -0.111   0.097  -0.223   0.071   0.102    -0.145   0.051   0.087   0.063  -0.139     0.077   0.063   0.065   0.074  -0.142
   2.416   -0.058    -0.117   0.106  -0.237   0.056   0.126    -0.158   0.041   0.108   0.053  -0.147     0.065   0.086   0.049   0.062  -0.152
   2.440   -0.049    -0.117   0.107  -0.235   0.053   0.125    -0.160   0.044   0.105   0.060  -0.145     0.065   0.089   0.051   0.062  -0.150
   2.463    0.109    -0.100   0.066  -0.198   0.086   0.067    -0.138   0.083   0.048   0.108  -0.122     0.101   0.037   0.096   0.101  -0.124
   2.487    0.482    -0.060  -0.046  -0.111   0.175  -0.074    -0.083   0.179  -0.089   0.219  -0.069     0.193  -0.095   0.208   0.203  -0.069
   2.510    1.068     0.004  -0.232   0.022   0.321  -0.293     0.004   0.331  -0.303   0.393   0.012     0.341  -0.304   0.386   0.372   0.015
   2.534    1.773     0.082  -0.460   0.179   0.500  -0.554     0.109   0.514  -0.559   0.600   0.110     0.518  -0.554   0.598   0.578   0.112
   2.557    2.422     0.154  -0.668   0.321   0.664  -0.792     0.206   0.681  -0.793   0.788   0.200     0.680  -0.781   0.792   0.770   0.200
   2.580    2.823     0.200  -0.794   0.407   0.765  -0.938     0.267   0.782  -0.935   0.901   0.256     0.777  -0.917   0.909   0.889   0.253
   2.604    2.842     0.204  -0.799   0.406   0.770  -0.944     0.272   0.785  -0.940   0.903   0.259     0.779  -0.916   0.912   0.895   0.255
   2.627    2.468     0.163  -0.685   0.320   0.676  -0.811     0.219   0.688  -0.804   0.794   0.208     0.685  -0.777   0.801   0.786   0.204
   2.651    1.820     0.092  -0.491   0.175   0.515  -0.581     0.126   0.524  -0.571   0.609   0.119     0.525  -0.546   0.610   0.597   0.117
   2.674    1.101     0.011  -0.274   0.016   0.337  -0.323     0.020   0.342  -0.308   0.402   0.018     0.347  -0.291   0.399   0.387   0.019
   2.698    0.509    -0.058  -0.088  -0.117   0.187  -0.100    -0.072   0.190  -0.082   0.229  -0.069     0.197  -0.074   0.221   0.210  -0.064
   2.721    0.154    -0.102   0.036  -0.201   0.094   0.047    -0.132   0.095   0.069   0.119  -0.125     0.100   0.066   0.108   0.098  -0.119
   2.745    0.019    -0.119   0.095  -0.235   0.056   0.115    -0.160   0.056   0.137   0.071  -0.151     0.057   0.127   0.061   0.052  -0.144
   2.768   -0.008    -0.119   0.104  -0.238   0.053   0.123    -0.165   0.053   0.143   0.064  -0.157     0.049   0.130   0.056   0.048  -0.151
   2.792   -0.044    -0.114   0.085  -0.232   0.061   0.100    -0.162   0.061   0.115   0.070  -0.156     0.052   0.105   0.064   0.057  -0.151
   2.815   -0.118    -0.111   0.063  -0.229   0.065   0.074    -0.159   0.065   0.085   0.073  -0.157     0.054   0.080   0.069   0.062  -0.153
   2.839   -0.126    -0.109   0.058  -0.227   0.066   0.066    -0.157   0.066   0.075   0.075  -0.158     0.058   0.076   0.073   0.066  -0.154
   2.862    0.135    -0.103   0.084  -0.214   0.079   0.093    -0.145   0.080   0.102   0.095  -0.151     0.078   0.107   0.093   0.085  -0.146
   2.885    0.849    -0.084   0.146  -0.174   0.121   0.164    -0.117   0.122   0.176   0.149  -0.125     0.129   0.182   0.145   0.138  -0.121
   2.909    2.053    -0.049   0.242  -0.103   0.198   0.278    -0.068   0.198   0.294   0.242  -0.077     0.213   0.298   0.235   0.230  -0.075
   2.932    3.561    -0.004   0.358  -0.012   0.296   0.418    -0.007   0.295   0.437   0.358  -0.015     0.318   0.438   0.349   0.346  -0.015
   2.956    4.997     0.040   0.469   0.074   0.391   0.552     0.052   0.389   0.573   0.469   0.046     0.416   0.569   0.457   0.458   0.041
   2.979    5.936     0.068   0.546   0.128   0.454   0.641     0.089   0.451   0.662   0.541   0.086     0.479   0.655   0.527   0.531   0.078
   3.003    6.081     0.070   0.565   0.130   0.466   0.657     0.092   0.462   0.677   0.550   0.093     0.488   0.667   0.539   0.543   0.082
   3.026    5.393     0.046   0.516   0.083   0.423   0.596     0.062   0.419   0.612   0.495   0.066     0.442   0.601   0.487   0.491   0.053
   3.050    4.104     0.006   0.412   0.003   0.340   0.479     0.012   0.334   0.490   0.392   0.017     0.354   0.480   0.390   0.391   0.004
   3.073    2.612    -0.038   0.283  -0.082   0.243   0.344    -0.043   0.235   0.350   0.271  -0.038     0.250   0.342   0.274   0.272  -0.049
   3.097    1.304    -0.074   0.168  -0.152   0.156   0.227    -0.089   0.146   0.225   0.163  -0.085     0.156   0.221   0.171   0.165  -0.094
   3.120    0.418    -0.101   0.101  -0.203   0.100   0.146    -0.123   0.086   0.138   0.092  -0.120     0.093   0.139   0.102   0.094  -0.126
