 Substance:BZO200d       2023/12/04 18:03:23                     
 Input files: ./data/bzo200d_n0001.dat to ./data/bzo200d_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     450000000 cell pairs, j_rand           5
 Supercell size:          32          32          32
 Unit cell parameter:   4.19393730       4.19393730       4.19393730    
 Atoms/unit_cell:           5
 Atoms  :    Ba      Zr      O1      O2      O3  
 Atom no.        1       2       3       4       5
 Occups:   0.2000  0.2000  0.2000  0.2000  0.2000
 Weights: Neutron          0.5070  0.7160  0.5803  0.5803  0.5803
 Masks	:        1       1       1       1       1
 Smoothing FWHM [Å-1]   9.38349068E-02

 Output: F(Q)
 Partials index        1  1    1  2    2  2    1  3    2  3      3  3    1  4    2  4    3  4    4  4      1  5    2  5    3  5    4  5    5  5
   Q [A-1]   Total       Ba_Ba   Ba_Zr   Zr_Zr   Ba_O1   Zr_O1     O1_O1   Ba_O2   Zr_O2   O1_O2   O2_O2     Ba_O3   Zr_O3   O1_O3   O2_O3   O3_O3
   1.642   -0.888    -0.148   0.054  -0.321   0.007  -0.018    -0.181  -0.002   0.042   0.002  -0.206     0.002   0.029   0.029   0.026  -0.202
   1.666   -0.930    -0.162   0.079  -0.346   0.022  -0.034    -0.198   0.008   0.030   0.019  -0.218     0.007   0.001   0.040   0.040  -0.217
   1.689   -0.921    -0.153   0.048  -0.324   0.019  -0.028    -0.188   0.003   0.035   0.015  -0.199    -0.001  -0.004   0.029   0.030  -0.202
   1.712   -0.907    -0.142   0.016  -0.296   0.011  -0.020    -0.175  -0.001   0.039   0.007  -0.177    -0.007  -0.003   0.014   0.013  -0.184
   1.736   -0.910    -0.137   0.002  -0.284   0.006  -0.018    -0.172   0.002   0.037   0.004  -0.167    -0.006  -0.003   0.004  -0.002  -0.176
   1.759   -0.934    -0.139   0.001  -0.290   0.007  -0.019    -0.179   0.012   0.031   0.005  -0.171     0.002  -0.004   0.002  -0.011  -0.180
   1.783   -0.967    -0.145   0.000  -0.304   0.008  -0.020    -0.188   0.022   0.026   0.008  -0.182     0.010  -0.003   0.005  -0.016  -0.189
   1.806   -0.997    -0.148  -0.003  -0.312   0.009  -0.018    -0.194   0.027   0.023   0.007  -0.192     0.010   0.001   0.007  -0.019  -0.194
   1.830   -1.015    -0.145  -0.006  -0.308   0.006  -0.017    -0.191   0.024   0.019   0.001  -0.194     0.001   0.004   0.005  -0.021  -0.193
   1.853   -1.022    -0.138  -0.004  -0.294   0.002  -0.018    -0.184   0.016   0.011  -0.009  -0.190    -0.012   0.005  -0.000  -0.021  -0.185
   1.877   -1.025    -0.134  -0.003  -0.284   0.001  -0.016    -0.180   0.008   0.001  -0.015  -0.187    -0.022   0.005  -0.005  -0.017  -0.180
   1.900   -1.037    -0.138  -0.019  -0.289   0.007  -0.008    -0.185   0.007  -0.003  -0.011  -0.193    -0.021   0.012  -0.004  -0.007  -0.185
   1.924   -1.058    -0.151  -0.057  -0.312   0.017   0.008    -0.201   0.013   0.003   0.001  -0.209    -0.009   0.027   0.003   0.009  -0.200
   1.947   -1.076    -0.162  -0.091  -0.333   0.024   0.023    -0.215   0.019   0.011   0.014  -0.223     0.005   0.042   0.007   0.020  -0.215
   1.971   -1.059    -0.153  -0.066  -0.312   0.013   0.013    -0.201   0.008   0.001   0.007  -0.208     0.003   0.032  -0.006   0.011  -0.201
   1.994   -0.971    -0.098   0.086  -0.200  -0.033  -0.048    -0.129  -0.037  -0.055  -0.040  -0.134    -0.035  -0.028  -0.054  -0.035  -0.130
   2.017   -0.789     0.015   0.406   0.029  -0.123  -0.176     0.016  -0.125  -0.174  -0.138   0.016    -0.120  -0.155  -0.149  -0.128   0.017
   2.041   -0.526     0.178   0.875   0.360  -0.250  -0.361     0.226  -0.252  -0.348  -0.281   0.232    -0.246  -0.343  -0.286  -0.261   0.229
   2.064   -0.236     0.359   1.396   0.727  -0.390  -0.562     0.458  -0.391  -0.541  -0.440   0.470    -0.387  -0.552  -0.438  -0.409   0.464
   2.088    0.004     0.509   1.831   1.030  -0.507  -0.724     0.651  -0.506  -0.700  -0.574   0.666    -0.506  -0.727  -0.566  -0.532   0.658
   2.111    0.123     0.582   2.047   1.178  -0.566  -0.796     0.747  -0.561  -0.774  -0.640   0.761    -0.567  -0.814  -0.631  -0.595   0.752
   2.135    0.086     0.555   1.976   1.122  -0.547  -0.755     0.714  -0.537  -0.741  -0.617   0.723    -0.549  -0.790  -0.611  -0.575   0.715
   2.158   -0.093     0.438   1.645   0.883  -0.457  -0.617     0.565  -0.442  -0.612  -0.511   0.567    -0.460  -0.664  -0.510  -0.479   0.561
   2.182   -0.358     0.267   1.160   0.536  -0.325  -0.425     0.347  -0.305  -0.431  -0.357   0.342    -0.327  -0.479  -0.362  -0.338   0.339
   2.205   -0.637     0.091   0.662   0.179  -0.188  -0.234     0.122  -0.168  -0.249  -0.199   0.112    -0.190  -0.288  -0.207  -0.194   0.113
   2.229   -0.868    -0.050   0.271  -0.103  -0.079  -0.087    -0.057  -0.064  -0.106  -0.077  -0.068    -0.082  -0.135  -0.086  -0.082  -0.065
   2.252   -1.018    -0.135   0.041  -0.273  -0.014  -0.002    -0.165  -0.007  -0.021  -0.006  -0.176    -0.017  -0.042  -0.013  -0.020  -0.169
   2.275   -1.079    -0.169  -0.044  -0.336   0.013   0.026    -0.206   0.010   0.010   0.018  -0.215     0.011  -0.007   0.014   0.001  -0.206
   2.299   -1.071    -0.168  -0.040  -0.331   0.019   0.018    -0.204   0.005   0.005   0.016  -0.211     0.017  -0.012   0.016   0.001  -0.201
   2.322   -1.026    -0.153  -0.011  -0.301   0.018  -0.003    -0.186  -0.003  -0.013   0.007  -0.191     0.017  -0.033   0.011  -0.002  -0.182
   2.346   -0.984    -0.140   0.007  -0.276   0.017  -0.018    -0.173  -0.006  -0.026   0.001  -0.175     0.019  -0.050   0.007  -0.000  -0.170
   2.369   -0.976    -0.136   0.011  -0.270   0.015  -0.014    -0.173  -0.009  -0.025  -0.005  -0.171     0.018  -0.050   0.001   0.002  -0.170
   2.393   -1.011    -0.140   0.014  -0.281   0.004   0.007    -0.184  -0.016  -0.007  -0.014  -0.177     0.010  -0.032  -0.012  -0.003  -0.180
   2.416   -1.058    -0.146   0.024  -0.296  -0.011   0.031    -0.197  -0.026   0.013  -0.023  -0.185    -0.002  -0.008  -0.027  -0.015  -0.190
   2.440   -1.048    -0.146   0.024  -0.294  -0.014   0.030    -0.199  -0.023   0.011  -0.017  -0.183    -0.002  -0.006  -0.026  -0.015  -0.188
   2.463   -0.891    -0.130  -0.017  -0.256   0.019  -0.028    -0.176   0.016  -0.047   0.031  -0.160     0.034  -0.058   0.019   0.024  -0.163
   2.487   -0.518    -0.089  -0.129  -0.169   0.108  -0.168    -0.121   0.112  -0.183   0.143  -0.107     0.126  -0.189   0.131   0.126  -0.107
   2.510    0.069    -0.025  -0.315  -0.036   0.254  -0.387    -0.034   0.264  -0.398   0.316  -0.026     0.274  -0.398   0.309   0.295  -0.024
   2.534    0.773     0.052  -0.542   0.121   0.433  -0.649     0.070   0.447  -0.654   0.523   0.072     0.451  -0.649   0.522   0.502   0.074
   2.557    1.422     0.125  -0.750   0.263   0.597  -0.887     0.167   0.614  -0.888   0.711   0.162     0.613  -0.876   0.716   0.693   0.162
   2.580    1.823     0.171  -0.876   0.348   0.698  -1.032     0.228   0.716  -1.030   0.824   0.218     0.710  -1.011   0.833   0.812   0.215
   2.604    1.842     0.175  -0.881   0.348   0.703  -1.039     0.233   0.718  -1.034   0.827   0.221     0.712  -1.010   0.836   0.818   0.216
   2.627    1.468     0.134  -0.767   0.262   0.609  -0.906     0.181   0.622  -0.898   0.718   0.170     0.618  -0.872   0.724   0.709   0.166
   2.651    0.820     0.062  -0.573   0.117   0.448  -0.676     0.088   0.457  -0.665   0.532   0.081     0.458  -0.641   0.533   0.521   0.078
   2.674    0.101    -0.019  -0.357  -0.043   0.270  -0.417    -0.019   0.275  -0.403   0.326  -0.021     0.280  -0.385   0.322   0.310  -0.019
   2.698   -0.491    -0.087  -0.171  -0.176   0.120  -0.195    -0.110   0.123  -0.176   0.152  -0.107     0.130  -0.169   0.144   0.133  -0.103
   2.721   -0.846    -0.131  -0.046  -0.259   0.027  -0.047    -0.170   0.028  -0.026   0.042  -0.164     0.033  -0.028   0.032   0.021  -0.157
   2.745   -0.981    -0.148   0.013  -0.293  -0.011   0.021    -0.198  -0.011   0.043  -0.006  -0.189    -0.010   0.032  -0.016  -0.025  -0.182
   2.768   -1.008    -0.149   0.021  -0.296  -0.014   0.029    -0.203  -0.014   0.048  -0.012  -0.195    -0.018   0.035  -0.021  -0.029  -0.189
   2.792   -1.044    -0.143   0.002  -0.290  -0.006   0.005    -0.200  -0.006   0.021  -0.007  -0.194    -0.015   0.010  -0.013  -0.019  -0.189
   2.815   -1.118    -0.140  -0.019  -0.287  -0.002  -0.021    -0.198  -0.002  -0.009  -0.004  -0.195    -0.013  -0.015  -0.008  -0.014  -0.191
   2.839   -1.126    -0.138  -0.024  -0.286  -0.001  -0.029    -0.195  -0.001  -0.020  -0.001  -0.196    -0.009  -0.019  -0.004  -0.011  -0.192
   2.862   -0.865    -0.132   0.001  -0.272   0.012  -0.002    -0.184   0.013   0.007   0.018  -0.189     0.011   0.012   0.016   0.008  -0.185
   2.885   -0.151    -0.113   0.063  -0.232   0.054   0.069    -0.155   0.055   0.081   0.072  -0.163     0.062   0.087   0.068   0.061  -0.159
   2.909    1.053    -0.078   0.159  -0.161   0.131   0.183    -0.107   0.131   0.199   0.165  -0.116     0.146   0.203   0.158   0.153  -0.113
   2.932    2.561    -0.033   0.275  -0.070   0.229   0.324    -0.045   0.228   0.343   0.282  -0.053     0.251   0.343   0.272   0.270  -0.054
   2.956    3.997     0.011   0.386   0.016   0.324   0.457     0.014   0.322   0.479   0.392   0.008     0.349   0.475   0.380   0.381   0.003
   2.979    4.936     0.039   0.463   0.070   0.387   0.546     0.050   0.384   0.568   0.464   0.048     0.412   0.561   0.451   0.454   0.039
   3.003    5.081     0.041   0.482   0.072   0.399   0.562     0.054   0.395   0.582   0.473   0.055     0.421   0.573   0.462   0.466   0.043
   3.026    4.393     0.017   0.434   0.024   0.356   0.501     0.024   0.352   0.518   0.418   0.028     0.375   0.507   0.410   0.414   0.015
   3.050    3.104    -0.023   0.330  -0.055   0.273   0.385    -0.027   0.267   0.396   0.315  -0.022     0.287   0.386   0.313   0.314  -0.034
   3.073    1.612    -0.067   0.201  -0.140   0.176   0.250    -0.082   0.168   0.255   0.194  -0.077     0.183   0.247   0.197   0.195  -0.087
   3.097    0.304    -0.104   0.086  -0.210   0.089   0.132    -0.128   0.079   0.131   0.086  -0.124     0.089   0.127   0.094   0.089  -0.132
   3.120   -0.582    -0.130   0.018  -0.261   0.033   0.051    -0.161   0.020   0.044   0.015  -0.159     0.026   0.044   0.025   0.017  -0.165
   3.143   -1.015    -0.148   0.009  -0.297   0.012   0.006    -0.184  -0.005  -0.005  -0.014  -0.184    -0.002   0.001  -0.003  -0.013  -0.188
   3.167   -1.111    -0.159   0.038  -0.322   0.014  -0.011    -0.199  -0.003  -0.024  -0.011  -0.200    -0.003  -0.014  -0.002  -0.011  -0.203
   3.190   -1.031    -0.158   0.056  -0.323   0.019  -0.006    -0.198   0.003  -0.018  -0.002  -0.200     0.001  -0.007   0.005  -0.000  -0.203
   3.214   -0.883    -0.131   0.000  -0.273   0.003   0.024    -0.164  -0.009   0.017  -0.013  -0.166    -0.013   0.026  -0.008  -0.008  -0.169
   3.237   -0.695    -0.064  -0.180  -0.142  -0.050   0.093    -0.079  -0.055   0.090  -0.064  -0.080    -0.061   0.097  -0.060  -0.055  -0.084
   3.261   -0.452     0.045  -0.493   0.078  -0.141   0.206     0.062  -0.137   0.205  -0.159   0.061    -0.147   0.211  -0.155  -0.146   0.058
   3.284   -0.152     0.182  -0.891   0.358  -0.254   0.351     0.239  -0.241   0.349  -0.282   0.239    -0.254   0.356  -0.275  -0.265   0.236
   3.308    0.152     0.313  -1.278   0.631  -0.360   0.495     0.410  -0.340   0.490  -0.400   0.409    -0.357   0.500  -0.390  -0.381   0.410
   3.331    0.372     0.402  -1.544   0.820  -0.428   0.596     0.524  -0.405   0.588  -0.479   0.523    -0.425   0.600  -0.467  -0.461   0.528
   3.355    0.424     0.420  -1.603   0.865  -0.440   0.619     0.547  -0.417   0.608  -0.497   0.545    -0.438   0.622  -0.482  -0.479   0.554
   3.378    0.284     0.362  -1.436   0.756  -0.393   0.554     0.472  -0.374   0.544  -0.449   0.470    -0.395   0.556  -0.432  -0.432   0.483
   3.402   -0.004     0.249  -1.096   0.529  -0.302   0.421     0.322  -0.291   0.415  -0.352   0.321    -0.309   0.422  -0.335  -0.335   0.336
   3.425   -0.351     0.112  -0.693   0.252  -0.195   0.264     0.143  -0.190   0.264  -0.232   0.144    -0.205   0.261  -0.218  -0.216   0.158
   3.448   -0.663    -0.013  -0.341  -0.008  -0.096   0.129    -0.022  -0.097   0.133  -0.120  -0.019    -0.109   0.121  -0.109  -0.103  -0.008
   3.472   -0.879    -0.106  -0.114  -0.202  -0.024   0.044    -0.144  -0.028   0.051  -0.035  -0.137    -0.036   0.030  -0.028  -0.019  -0.131
   3.495   -0.982    -0.155  -0.015  -0.308   0.015   0.010    -0.209   0.011   0.016   0.013  -0.200     0.006  -0.010   0.015   0.027  -0.199
   3.519   -0.984    -0.161   0.022  -0.325   0.020   0.001    -0.216   0.018   0.003   0.020  -0.205     0.015  -0.021   0.020   0.033  -0.210
   3.542   -0.906    -0.125   0.087  -0.254  -0.007  -0.018    -0.168  -0.006  -0.023  -0.011  -0.157    -0.006  -0.040  -0.012  -0.000  -0.165
   3.566   -0.767    -0.051   0.254  -0.104  -0.061  -0.078    -0.071  -0.059  -0.089  -0.078  -0.061    -0.057  -0.095  -0.078  -0.069  -0.070
   3.589   -0.590     0.051   0.533   0.107  -0.136  -0.182     0.065  -0.135  -0.199  -0.171   0.070    -0.130  -0.192  -0.169  -0.164   0.062
   3.613   -0.403     0.164   0.870   0.342  -0.218  -0.310     0.214  -0.221  -0.330  -0.273   0.214    -0.214  -0.311  -0.270  -0.269   0.209
   3.636   -0.246     0.262   1.166   0.545  -0.290  -0.426     0.343  -0.295  -0.445  -0.359   0.338    -0.288  -0.418  -0.356  -0.359   0.337
   3.660   -0.162     0.316   1.326   0.659  -0.329  -0.491     0.415  -0.338  -0.508  -0.406   0.406    -0.331  -0.478  -0.403  -0.408   0.408
   3.683   -0.180     0.309   1.297   0.646  -0.325  -0.484     0.407  -0.335  -0.498  -0.398   0.395    -0.329  -0.470  -0.397  -0.400   0.402
