 Substance:BZO200d       2023/12/04 18:04:51                     
 Input files: ./data/bzo200d_n0001.dat to ./data/bzo200d_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     450000000 cell pairs, j_rand           5
 Supercell size:          32          32          32
 Unit cell parameter:   4.19393730       4.19393730       4.19393730    
 Atoms/unit_cell:           5
 Atoms  :    Ba      Zr      O1      O2      O3  
 Atom no.        1       2       3       4       5
 Occups:   0.2000  0.2000  0.2000  0.2000  0.2000
 Weights: Neutron          0.5070  0.7160  0.5803  0.5803  0.5803
 Masks	:        1       1       1       1       1
 Smoothing FWHM [Å-1]   9.38349068E-02

 Output: I(Q)
 Partials index        1  1    1  2    2  2    1  3    2  3      3  3    1  4    2  4    3  4    4  4      1  5    2  5    3  5    4  5    5  5
   Q [A-1]   Total       Ba_Ba   Ba_Zr   Zr_Zr   Ba_O1   Zr_O1     O1_O1   Ba_O2   Zr_O2   O1_O2   O2_O2     Ba_O3   Zr_O3   O1_O3   O2_O3   O3_O3
   1.454    1.449     0.579  -1.636   1.183  -0.413   0.646     0.751  -0.438   0.600  -0.495   0.770    -0.415   0.582  -0.520  -0.511   0.766
   1.478    1.741     0.700  -1.962   1.420  -0.508   0.758     0.907  -0.522   0.720  -0.603   0.931    -0.508   0.726  -0.624  -0.611   0.916
   1.501    1.818     0.727  -2.024   1.469  -0.534   0.773     0.944  -0.538   0.748  -0.632   0.967    -0.531   0.777  -0.644  -0.630   0.946
   1.525    1.659     0.654  -1.801   1.315  -0.486   0.685     0.850  -0.481   0.676  -0.573   0.867    -0.478   0.721  -0.573  -0.563   0.845
   1.548    1.320     0.505  -1.366   1.009  -0.380   0.521     0.659  -0.369   0.529  -0.448   0.666    -0.367   0.580  -0.436  -0.431   0.648
   1.572    0.906     0.327  -0.853   0.643  -0.249   0.329     0.430  -0.238   0.353  -0.295   0.425    -0.234   0.399  -0.272  -0.273   0.415
   1.595    0.530     0.166  -0.398   0.313  -0.128   0.158     0.225  -0.121   0.197  -0.154   0.208    -0.115   0.228  -0.126  -0.130   0.206
   1.619    0.263     0.054  -0.091   0.084  -0.040   0.041     0.082  -0.041   0.092  -0.053   0.058    -0.035   0.101  -0.023  -0.027   0.061
   1.642    0.123    -0.002   0.053  -0.030   0.007  -0.018     0.011  -0.002   0.041   0.002  -0.014     0.002   0.029   0.028   0.026  -0.010
   1.666    0.082    -0.016   0.078  -0.054   0.022  -0.033    -0.006   0.008   0.030   0.019  -0.026     0.007   0.001   0.039   0.039  -0.024
   1.689    0.091    -0.007   0.048  -0.033   0.018  -0.028     0.004   0.003   0.035   0.015  -0.007    -0.001  -0.004   0.028   0.030  -0.010
   1.712    0.105     0.004   0.016  -0.005   0.011  -0.020     0.016  -0.001   0.039   0.007   0.015    -0.007  -0.003   0.013   0.013   0.008
   1.736    0.102     0.009   0.002   0.007   0.006  -0.018     0.020   0.002   0.036   0.003   0.025    -0.006  -0.003   0.004  -0.002   0.016
   1.759    0.078     0.007   0.001   0.001   0.006  -0.019     0.013   0.011   0.030   0.005   0.021     0.002  -0.004   0.002  -0.011   0.012
   1.783    0.045     0.001   0.000  -0.013   0.008  -0.019     0.004   0.021   0.026   0.008   0.009     0.009  -0.003   0.005  -0.016   0.003
   1.806    0.016    -0.001  -0.003  -0.021   0.008  -0.018    -0.002   0.026   0.023   0.007  -0.000     0.010   0.001   0.007  -0.019  -0.002
   1.830   -0.002     0.001  -0.006  -0.016   0.006  -0.017     0.001   0.024   0.019   0.001  -0.002     0.001   0.004   0.005  -0.021  -0.001
   1.853   -0.009     0.008  -0.004  -0.003   0.002  -0.017     0.008   0.016   0.011  -0.009   0.001    -0.012   0.005  -0.000  -0.021   0.006
   1.877   -0.012     0.012  -0.003   0.007   0.001  -0.016     0.012   0.008   0.001  -0.015   0.005    -0.022   0.005  -0.004  -0.017   0.012
   1.900   -0.023     0.008  -0.019   0.002   0.007  -0.008     0.007   0.007  -0.003  -0.011  -0.001    -0.021   0.012  -0.004  -0.007   0.007
   1.924   -0.045    -0.005  -0.056  -0.021   0.017   0.008    -0.009   0.013   0.003   0.001  -0.017    -0.009   0.027   0.003   0.008  -0.008
   1.947   -0.062    -0.016  -0.090  -0.042   0.024   0.022    -0.023   0.018   0.011   0.013  -0.031     0.005   0.041   0.007   0.019  -0.022
   1.971   -0.046    -0.006  -0.066  -0.020   0.013   0.013    -0.009   0.008   0.001   0.007  -0.016     0.002   0.032  -0.006   0.011  -0.009
   1.994    0.041     0.047   0.085   0.090  -0.033  -0.048     0.062  -0.036  -0.054  -0.039   0.056    -0.035  -0.027  -0.053  -0.035   0.061
   2.017    0.221     0.159   0.401   0.316  -0.122  -0.174     0.205  -0.124  -0.171  -0.136   0.205    -0.119  -0.153  -0.147  -0.126   0.206
   2.041    0.480     0.320   0.863   0.643  -0.247  -0.356     0.412  -0.248  -0.343  -0.277   0.418    -0.243  -0.338  -0.282  -0.257   0.416
