 Substance:   Al_U       MP_SQL 1.56 2023/12/12 10:44:39
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms       :    Al      U   
 Atom no.    :       1       2
 Occupancies:   0.9200  0.0800
 Amplitudes  :  19.3117 25.1244
 Scale factors:   1.0000   1.0000
 Masks	      :        1       1
 Smoothing FWHM [Å]   4.99999970E-02

 Output: I(Q)
    Q [A-1]          total            1  1             2  1             2  2
   3.09999990      0.658351898      0.177599534     -0.195747674      0.676500022    
   3.10999990      0.664736748      0.175416842     -0.196914032      0.686233938    
   3.11999989      0.672143161      0.173690289     -0.198711917      0.697164774    
   3.12999988      0.680208445      0.172559574     -0.201370820      0.709019721    
   3.13999987      0.687036037      0.171329543     -0.204041332      0.719747841    
   3.14999986      0.692480683      0.169448480     -0.206132457      0.729164660    
   3.15999985      0.698266029      0.166929156     -0.207607120      0.738943994    
   3.16999984      0.706892014      0.164131135     -0.208663911      0.751424789    
   3.17999983      0.719637036      0.161310956     -0.209447280      0.767773330    
   3.18999982      0.734800220      0.158314988     -0.209646836      0.786132038    
   3.19999981      0.749983907      0.155214623     -0.209501669      0.804270923    
   3.21000004      0.763780832      0.152322248     -0.209324226      0.820782840    
   3.22000003      0.777125239      0.150211871     -0.209782064      0.836695433    
   3.23000002      0.789800763      0.148741394     -0.210734487      0.851793826    
   3.24000001      0.799912751      0.147184968     -0.211610556      0.864338338    
   3.25000000      0.806968749      0.145023361     -0.212151498      0.874096870    
   3.25999999      0.812097907      0.142203867     -0.212336257      0.882230282    
   3.26999998      0.819284737      0.139555201     -0.212983415      0.892712951    
   3.27999997      0.830500484      0.137799904     -0.214520589      0.907221198    
   3.28999996      0.843725204      0.137074754     -0.216887847      0.923538268    
   3.29999995      0.853759050      0.136702552     -0.219266564      0.936323047    
   3.30999994      0.856759071      0.135811687     -0.220898420      0.941845775    
   3.31999993      0.853781939      0.134092852     -0.221729115      0.941418171    
   3.32999992      0.849968314      0.131985337     -0.222450435      0.940433383    
   3.33999991      0.848236322      0.129897282     -0.223741591      0.942080617    
   3.34999990      0.846743762      0.127866164     -0.225524515      0.944402099    
   3.35999990      0.841402888      0.125753552     -0.227459997      0.943109334    
   3.36999989      0.831433415      0.123738103     -0.229069203      0.936764538    
   3.37999988      0.821072698      0.122406512     -0.230447680      0.929113865    
   3.38999987      0.815739572      0.122128420     -0.231556788      0.925167918    
   3.39999986      0.815655410      0.122340269     -0.232081160      0.925396323    
   3.40999985      0.816533148      0.122046590     -0.231443122      0.925929666    
   3.41999984      0.814111233      0.120649964     -0.229543433      0.923004687    
   3.42999983      0.806159198      0.118252069     -0.226447269      0.914354384    
   3.43999982      0.792769372      0.115402818     -0.222339272      0.899705827    
   3.44999981      0.776898026      0.112800829     -0.218008623      0.882105827    
   3.46000004      0.763199508      0.110975757     -0.214719921      0.866943657    
   3.47000003      0.754554033      0.109970056     -0.213194251      0.857778251    
   3.48000002      0.750850439      0.109401554     -0.213061064      0.854509950    
   3.49000001      0.748098612      0.108618736     -0.212598696      0.852078557    
   3.50000000      0.744120777      0.107468434     -0.211009070      0.847661436    
   3.50999999      0.738748968      0.106139190     -0.208296850      0.840906620    
   3.51999998      0.733262599      0.104931831     -0.205422267      0.833753049    
   3.52999997      0.729621351      0.104007825     -0.203089893      0.828703403    
   3.53999996      0.729464293      0.103378676     -0.201667890      0.827753484    
