 Substance:Al_U       2023/12/12 09:50:39                     
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     100000000 cell pairs, j_rand          10
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms  :    Al      U   
 Atom no.        1       2
 Occups:   0.9200  0.0800
 Weights: Unit             1.0000  1.0000
 Masks	:        1       1
 Smoothing FWHM [Å]   9.99999940E-02

 Output: g(r)
 Partials index        1  1    1  2    2  2
   r [A]   Total       Al_Al   Al_U   U_U
   4.660    1.100     0.994   0.106   0.000
   4.680    1.126     1.011   0.114   0.000
   4.700    1.148     1.025   0.122   0.000
   4.720    1.168     1.037   0.131   0.000
   4.740    1.188     1.046   0.142   0.000
   4.760    1.209     1.055   0.153   0.001
   4.780    1.228     1.063   0.164   0.001
   4.800    1.246     1.071   0.174   0.001
   4.820    1.264     1.079   0.183   0.002
   4.840    1.283     1.088   0.192   0.002
   4.860    1.301     1.096   0.201   0.003
   4.880    1.315     1.102   0.209   0.004
   4.900    1.322     1.103   0.214   0.004
   4.920    1.325     1.101   0.220   0.005
   4.940    1.327     1.097   0.225   0.006
   4.960    1.328     1.092   0.230   0.007
   4.980    1.327     1.086   0.233   0.008
   5.000    1.324     1.079   0.235   0.009
   5.020    1.318     1.072   0.236   0.010
   5.040    1.313     1.065   0.238   0.010
   5.060    1.310     1.059   0.239   0.011
   5.080    1.305     1.054   0.240   0.012
   5.100    1.300     1.048   0.240   0.012
   5.120    1.294     1.042   0.239   0.012
   5.140    1.288     1.037   0.238   0.013
   5.160    1.281     1.031   0.237   0.013
   5.180    1.273     1.024   0.235   0.014
   5.200    1.262     1.017   0.231   0.014
   5.220    1.251     1.010   0.227   0.014
   5.240    1.240     1.003   0.223   0.014
   5.260    1.229     0.996   0.219   0.014
   5.280    1.217     0.988   0.215   0.014
