 Substance:Al_U       2023/12/12 09:52:08                     
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     100000000 cell pairs, j_rand          10
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms  :    Al      U   
 Atom no.        1       2
 Occups:   0.9200  0.0800
 Weights: Xray            12.9937 91.9693
 Masks	:        1       1
 Smoothing FWHM [Å-1]   8.72664675E-02

 Output: S(Q)
 Partials index        1  1    1  2    2  2
   Q [A-1]   Total       Al_Al   Al_U   U_U
  10.996    1.002     0.212   0.501   0.288
  11.039    1.023     0.211   0.499   0.314
  11.083    1.021     0.210   0.501   0.310
  11.126    1.004     0.208   0.500   0.296
  11.170    1.007     0.207   0.487   0.313
  11.214    1.016     0.206   0.471   0.340
  11.257    0.998     0.205   0.471   0.323
  11.301    0.971     0.205   0.470   0.296
  11.345    0.981     0.204   0.464   0.313
  11.388    1.000     0.203   0.467   0.330
  11.432    0.982     0.201   0.470   0.311
  11.476    0.943     0.199   0.461   0.282
  11.519    0.937     0.198   0.450   0.289
  11.563    0.956     0.199   0.453   0.304
  11.606    0.959     0.200   0.464   0.296
  11.650    0.931     0.197   0.468   0.266
  11.694    0.914     0.196   0.471   0.246
  11.737    0.931     0.196   0.465   0.270
  11.781    0.930     0.195   0.458   0.278
  11.825    0.918     0.193   0.471   0.255
  11.868    0.908     0.190   0.480   0.238
  11.912    0.933     0.191   0.473   0.269
  11.956    0.956     0.192   0.471   0.293
  11.999    0.953     0.189   0.474   0.290
  12.043    0.982     0.188   0.486   0.307
  12.086    1.014     0.189   0.498   0.328
  12.130    1.008     0.188   0.491   0.329
  12.174    1.003     0.187   0.498   0.318
  12.217    1.040     0.187   0.509   0.344
  12.261    1.046     0.186   0.504   0.356
  12.305    1.023     0.186   0.503   0.334
  12.348    1.030     0.185   0.510   0.335
  12.392    1.055     0.183   0.517   0.354
  12.435    1.055     0.184   0.518   0.354
  12.479    1.046     0.185   0.518   0.343
  12.523    1.056     0.184   0.520   0.352
  12.566    1.046     0.184   0.517   0.345
  12.610    1.010     0.184   0.517   0.310
  12.654    1.017     0.183   0.518   0.316
  12.697    1.057     0.182   0.511   0.363
  12.741    1.057     0.183   0.510   0.365
  12.785    1.039     0.184   0.517   0.338
  12.828    1.033     0.184   0.510   0.339
  12.872    1.052     0.184   0.502   0.366
  12.915    1.021     0.184   0.504   0.334
  12.959    0.974     0.182   0.501   0.291
  13.003    1.014     0.183   0.496   0.334
  13.046    1.041     0.185   0.490   0.366
  13.090    1.002     0.183   0.483   0.335
  13.134    0.972     0.183   0.482   0.307
  13.177    1.007     0.184   0.481   0.342
  13.221    1.039     0.183   0.483   0.372
  13.265    1.013     0.183   0.489   0.341
  13.308    0.985     0.184   0.477   0.324
  13.352    0.976     0.184   0.462   0.330
  13.395    0.967     0.183   0.464   0.321
  13.439    0.968     0.183   0.471   0.314
  13.483    0.965     0.183   0.472   0.310
  13.526    0.972     0.182   0.468   0.322
  13.570    1.001     0.181   0.469   0.350
  13.614    0.966     0.182   0.467   0.317
  13.657    0.921     0.182   0.462   0.277
  13.701    0.975     0.180   0.470   0.325
  13.744    1.005     0.181   0.473   0.351
  13.788    0.956     0.181   0.467   0.308
  13.832    0.914     0.178   0.468   0.268
  13.875    0.921     0.177   0.476   0.268
  13.919    0.959     0.178   0.477   0.304
  13.963    0.987     0.178   0.481   0.328
  14.006    1.006     0.178   0.484   0.344
  14.050    0.988     0.177   0.484   0.327
  14.094    0.959     0.177   0.487   0.295
  14.137    0.995     0.177   0.489   0.329
  14.181    1.042     0.175   0.502   0.365
  14.224    1.033     0.174   0.508   0.351
  14.268    1.025     0.174   0.505   0.346
  14.312    1.017     0.173   0.504   0.340
  14.355    1.016     0.174   0.498   0.345
  14.399    1.048     0.173   0.496   0.379
  14.443    1.032     0.172   0.499   0.361
  14.486    1.014     0.172   0.504   0.337
  14.530    1.024     0.172   0.509   0.343
  14.573    1.033     0.172   0.509   0.351
  14.617    1.039     0.172   0.506   0.361
  14.661    1.013     0.170   0.495   0.348
  14.704    1.001     0.170   0.494   0.337
  14.748    1.028     0.170   0.505   0.353
  14.792    1.047     0.169   0.500   0.378
  14.835    1.017     0.169   0.492   0.356
  14.879    1.008     0.169   0.495   0.344
  14.923    1.042     0.169   0.493   0.380
  14.966    1.018     0.169   0.486   0.363
  15.010    0.989     0.168   0.480   0.342
  15.053    1.012     0.167   0.485   0.360
  15.097    1.011     0.169   0.482   0.360
  15.141    1.011     0.169   0.468   0.374
  15.184    1.014     0.169   0.471   0.375
  15.228    0.986     0.170   0.476   0.341
  15.272    0.988     0.169   0.472   0.346
  15.315    0.990     0.168   0.470   0.352
  15.359    0.981     0.168   0.469   0.345
  15.403    0.993     0.169   0.467   0.356
  15.446    0.978     0.169   0.469   0.341
  15.490    0.972     0.169   0.474   0.330
  15.533    0.990     0.170   0.477   0.343
  15.577    0.981     0.171   0.472   0.339
  15.621    0.959     0.170   0.466   0.323
  15.664    0.970     0.170   0.474   0.327
  15.708    0.991     0.170   0.477   0.344
  15.752    0.972     0.170   0.474   0.328
  15.795    0.967     0.171   0.480   0.316
  15.839    0.974     0.170   0.480   0.323
  15.882    0.975     0.170   0.477   0.327
  15.926    0.978     0.170   0.483   0.325
  15.970    0.955     0.171   0.483   0.300
  16.013    0.969     0.172   0.481   0.316
  16.057    1.006     0.171   0.488   0.347
  16.101    0.993     0.170   0.497   0.327
  16.144    0.993     0.169   0.498   0.326
  16.188    0.995     0.171   0.494   0.330
  16.232    0.975     0.171   0.493   0.311
  16.275    1.010     0.171   0.495   0.344
  16.319    1.033     0.171   0.496   0.366
  16.362    1.019     0.171   0.499   0.349
  16.406    1.033     0.172   0.501   0.361
  16.450    1.035     0.170   0.498   0.367
  16.493    1.020     0.170   0.488   0.362
  16.537    1.029     0.171   0.483   0.375
  16.581    1.042     0.171   0.494   0.378
  16.624    1.037     0.171   0.498   0.369
  16.668    1.020     0.170   0.492   0.358
  16.712    1.008     0.170   0.492   0.346
  16.755    0.998     0.170   0.488   0.340
  16.799    1.001     0.169   0.479   0.353
  16.842    1.026     0.170   0.486   0.370
  16.886    1.044     0.169   0.496   0.379
  16.930    1.038     0.168   0.486   0.383
  16.973    1.007     0.169   0.482   0.356
  17.017    0.985     0.168   0.486   0.330
  17.061    0.997     0.168   0.480   0.349
  17.104    1.019     0.169   0.475   0.374
  17.148    1.017     0.168   0.483   0.365
  17.191    0.995     0.167   0.483   0.345
  17.235    0.989     0.166   0.475   0.347
  17.279    0.988     0.167   0.471   0.350
  17.322    0.991     0.168   0.474   0.350
  17.366    1.011     0.167   0.476   0.368
  17.410    1.017     0.167   0.475   0.375
  17.453    0.994     0.167   0.475   0.352
  17.497    0.979     0.167   0.475   0.338
  17.541    0.995     0.167   0.474   0.354
  17.584    0.988     0.167   0.469   0.352
  17.628    0.958     0.167   0.471   0.319
  17.671    0.959     0.167   0.481   0.310
  17.715    0.972     0.167   0.482   0.323
  17.759    0.972     0.167   0.478   0.327
  17.802    0.980     0.167   0.477   0.336
  17.846    0.981     0.167   0.480   0.334
  17.890    0.988     0.168   0.482   0.338
  17.933    0.989     0.168   0.483   0.338
  17.977    0.982     0.169   0.491   0.322
  18.021    1.007     0.168   0.497   0.341
  18.064    0.994     0.168   0.487   0.340
  18.108    0.971     0.169   0.481   0.321
  18.151    0.976     0.169   0.488   0.319
  18.195    0.972     0.169   0.490   0.313
  18.239    0.988     0.169   0.492   0.327
  18.282    1.011     0.170   0.493   0.348
  18.326    1.015     0.170   0.492   0.353
  18.370    1.020     0.170   0.495   0.356
  18.413    1.021     0.171   0.497   0.353
  18.457    0.998     0.171   0.496   0.332
  18.500    0.999     0.170   0.491   0.338
  18.544    1.039     0.171   0.494   0.374
  18.588    1.041     0.172   0.495   0.374
  18.631    1.006     0.172   0.488   0.345
  18.675    1.001     0.172   0.486   0.343
  18.719    1.018     0.172   0.485   0.361
  18.762    1.026     0.173   0.485   0.368
  18.806    1.021     0.173   0.487   0.362
  18.850    1.017     0.172   0.491   0.354
  18.893    1.007     0.172   0.494   0.341
  18.937    0.989     0.172   0.489   0.327
  18.980    0.995     0.173   0.480   0.342
  19.024    1.010     0.173   0.478   0.359
  19.068    1.023     0.174   0.485   0.365
  19.111    1.027     0.174   0.484   0.369
  19.155    1.017     0.173   0.481   0.363
  19.199    1.006     0.172   0.481   0.352
  19.242    0.990     0.172   0.476   0.341
  19.286    0.987     0.173   0.476   0.338
  19.330    0.999     0.174   0.478   0.347
  19.373    1.018     0.173   0.481   0.364
  19.417    1.018     0.173   0.478   0.367
  19.460    0.998     0.173   0.473   0.352
  19.504    0.990     0.173   0.476   0.342
  19.548    0.991     0.172   0.483   0.336
  19.591    0.983     0.173   0.485   0.326
  19.635    0.976     0.173   0.486   0.316
  19.679    0.988     0.173   0.485   0.330
  19.722    0.993     0.174   0.480   0.339
  19.766    0.984     0.173   0.484   0.327
  19.809    0.995     0.173   0.488   0.334
  19.853    0.990     0.173   0.486   0.332
  19.897    0.972     0.172   0.483   0.317
  19.940    0.984     0.173   0.486   0.325
  19.984    0.995     0.174   0.490   0.331
  20.028    0.992     0.174   0.484   0.333
  20.071    0.988     0.173   0.482   0.333
  20.115    0.992     0.173   0.490   0.329
  20.159    0.995     0.173   0.493   0.329
