 Substance:Al_U       2023/12/12 09:52:08                     
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     100000000 cell pairs, j_rand          10
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms  :    Al      U   
 Atom no.        1       2
 Occups:   0.9200  0.0800
 Weights: Xray            12.9937 91.9693
 Masks	:        1       1
 Smoothing FWHM [Å-1]   8.72664675E-02

 Output: S(Q)
 Partials index        1  1    1  2    2  2
   Q [A-1]   Total       Al_Al   Al_U   U_U
  53.931    1.004     0.241   0.498   0.265
  53.974    1.002     0.241   0.496   0.265
  54.018    0.998     0.242   0.498   0.259
  54.062    0.999     0.242   0.498   0.260
  54.105    1.003     0.241   0.496   0.266
  54.149    1.001     0.242   0.496   0.263
  54.192    0.999     0.242   0.499   0.258
  54.236    1.001     0.241   0.499   0.261
  54.280    0.997     0.241   0.495   0.261
  54.323    0.997     0.242   0.496   0.259
  54.367    1.000     0.242   0.498   0.261
  54.411    1.000     0.242   0.500   0.259
  54.454    0.996     0.242   0.498   0.256
  54.498    0.990     0.241   0.494   0.254
  54.542    0.996     0.242   0.496   0.258
  54.585    1.006     0.242   0.500   0.263
  54.629    1.001     0.242   0.499   0.260
  54.672    0.996     0.241   0.497   0.258
  54.716    0.998     0.241   0.499   0.257
  54.760    1.001     0.242   0.498   0.261
  54.803    1.002     0.242   0.499   0.261
  54.847    1.004     0.242   0.501   0.261
  54.891    1.008     0.242   0.501   0.265
  54.934    1.001     0.241   0.500   0.260
  54.978    1.000     0.241   0.500   0.259
  55.022    1.007     0.241   0.502   0.264
  55.065    1.002     0.241   0.504   0.256
  55.109    0.997     0.242   0.504   0.252
  55.152    0.999     0.242   0.502   0.255
  55.196    1.001     0.241   0.502   0.258
  55.240    1.003     0.241   0.502   0.261
  55.283    0.999     0.241   0.501   0.256
  55.327    0.995     0.241   0.502   0.252
  55.371    0.995     0.241   0.503   0.251
  55.414    0.999     0.241   0.504   0.254
  55.458    1.009     0.241   0.503   0.265
  55.501    1.006     0.241   0.503   0.262
  55.545    0.995     0.241   0.503   0.252
  55.589    0.997     0.241   0.502   0.254
  55.632    1.003     0.241   0.503   0.259
  55.676    1.003     0.241   0.505   0.257
  55.720    0.997     0.241   0.501   0.255
  55.763    0.994     0.241   0.498   0.255
  55.807    0.995     0.241   0.500   0.255
  55.851    1.002     0.241   0.501   0.260
  55.894    1.006     0.241   0.499   0.266
  55.938    1.004     0.241   0.500   0.263
  55.981    1.007     0.241   0.501   0.266
  56.025    1.004     0.241   0.497   0.265
  56.069    0.995     0.241   0.496   0.258
  56.112    1.000     0.241   0.498   0.261
  56.156    1.005     0.241   0.498   0.266
  56.200    1.001     0.241   0.497   0.262
  56.243    0.997     0.241   0.497   0.258
  56.287    1.000     0.241   0.497   0.262
  56.331    0.995     0.241   0.496   0.258
  56.374    0.992     0.242   0.496   0.254
  56.418    0.995     0.242   0.496   0.257
  56.461    0.994     0.242   0.495   0.257
  56.505    0.995     0.242   0.498   0.256
  56.549    0.996     0.242   0.498   0.257
  56.592    0.997     0.241   0.497   0.259
  56.636    0.997     0.242   0.498   0.258
  56.680    0.995     0.242   0.498   0.255
  56.723    0.998     0.242   0.498   0.258
  56.767    1.002     0.243   0.498   0.262
  56.810    0.998     0.242   0.498   0.258
  56.854    0.998     0.241   0.499   0.257
  56.898    1.003     0.242   0.501   0.260
  56.941    1.004     0.242   0.501   0.261
  56.985    1.006     0.242   0.502   0.262
  57.029    1.003     0.242   0.501   0.259
  57.072    0.999     0.242   0.502   0.256
  57.116    1.000     0.242   0.504   0.255
  57.160    1.003     0.242   0.503   0.258
  57.203    1.007     0.242   0.502   0.263
  57.247    1.005     0.242   0.502   0.261
  57.290    1.005     0.242   0.503   0.260
  57.334    1.005     0.242   0.504   0.259
  57.378    1.005     0.241   0.504   0.260
  57.421    1.005     0.242   0.503   0.261
  57.465    0.999     0.241   0.503   0.254
  57.509    0.998     0.241   0.502   0.254
  57.552    1.001     0.242   0.500   0.260
  57.596    0.999     0.241   0.501   0.258
  57.640    0.999     0.241   0.502   0.256
  57.683    1.002     0.241   0.503   0.258
  57.727    0.999     0.241   0.503   0.255
  57.770    0.994     0.241   0.501   0.252
  57.814    0.999     0.241   0.500   0.258
  57.858    1.001     0.241   0.499   0.261
  57.901    0.999     0.241   0.498   0.259
  57.945    1.005     0.241   0.501   0.263
  57.989    1.001     0.240   0.502   0.259
  58.032    0.998     0.240   0.499   0.258
  58.076    1.001     0.241   0.496   0.264
  58.119    0.997     0.241   0.498   0.258
  58.163    0.998     0.241   0.500   0.257
  58.207    0.999     0.241   0.497   0.261
  58.250    0.999     0.241   0.497   0.261
  58.294    0.999     0.241   0.498   0.260
  58.338    1.000     0.241   0.499   0.259
  58.381    1.001     0.241   0.500   0.259
  58.425    0.998     0.241   0.498   0.259
  58.469    0.997     0.241   0.496   0.260
  58.512    0.997     0.241   0.498   0.258
  58.556    0.992     0.241   0.498   0.253
  58.599    0.990     0.241   0.495   0.254
  58.643    0.998     0.241   0.495   0.261
  58.687    1.003     0.241   0.498   0.263
  58.730    0.998     0.241   0.498   0.259
  58.774    0.997     0.241   0.496   0.260
  58.818    1.000     0.241   0.497   0.261
  58.861    1.001     0.242   0.499   0.260
  58.905    1.004     0.242   0.500   0.262
  58.948    1.000     0.242   0.499   0.259
  58.992    0.999     0.241   0.498   0.260
  59.036    1.004     0.242   0.500   0.262
  59.079    1.001     0.242   0.501   0.258
  59.123    1.002     0.242   0.502   0.258
  59.167    1.004     0.242   0.503   0.259
  59.210    1.000     0.242   0.501   0.257
  59.254    0.998     0.242   0.502   0.255
  59.298    1.000     0.242   0.503   0.255
  59.341    1.002     0.242   0.502   0.257
  59.385    1.002     0.242   0.502   0.258
  59.428    0.998     0.242   0.503   0.254
  59.472    0.996     0.242   0.502   0.252
  59.516    0.997     0.242   0.501   0.254
  59.559    1.001     0.241   0.502   0.258
  59.603    1.009     0.242   0.504   0.264
  59.647    1.004     0.242   0.501   0.260
  59.690    0.997     0.242   0.500   0.255
  59.734    1.005     0.242   0.505   0.258
  59.778    1.006     0.242   0.504   0.259
  59.821    1.002     0.242   0.503   0.257
  59.865    1.006     0.241   0.504   0.260
  59.908    1.008     0.242   0.502   0.265
  59.952    1.009     0.242   0.502   0.266
  59.996    1.009     0.241   0.502   0.265
  60.039    1.004     0.241   0.497   0.266
  60.083    0.998     0.241   0.496   0.261
  60.127    0.997     0.241   0.498   0.257
  60.170    0.998     0.242   0.498   0.258
  60.214    0.997     0.241   0.497   0.258
  60.257    0.998     0.241   0.496   0.261
  60.301    0.997     0.241   0.497   0.258
  60.345    0.993     0.241   0.499   0.253
  60.388    0.997     0.240   0.498   0.258
  60.432    0.997     0.241   0.498   0.259
  60.476    0.993     0.241   0.497   0.256
  60.519    0.991     0.241   0.497   0.253
  60.563    0.991     0.241   0.499   0.252
  60.607    0.993     0.241   0.498   0.254
  60.650    0.994     0.241   0.498   0.255
  60.694    0.991     0.241   0.497   0.253
  60.737    0.991     0.241   0.497   0.253
  60.781    0.997     0.241   0.498   0.259
  60.825    1.004     0.241   0.499   0.264
  60.868    1.007     0.241   0.501   0.265
  60.912    1.003     0.241   0.500   0.261
  60.956    0.998     0.241   0.498   0.258
  60.999    1.000     0.242   0.499   0.260
  61.043    1.006     0.242   0.501   0.263
  61.087    1.010     0.242   0.501   0.267
  61.130    1.008     0.242   0.501   0.265
  61.174    1.003     0.241   0.501   0.261
  61.217    1.005     0.241   0.500   0.264
  61.261    1.008     0.242   0.501   0.265
  61.305    1.002     0.242   0.501   0.259
  61.348    0.997     0.242   0.500   0.255
  61.392    1.003     0.242   0.500   0.261
  61.436    1.001     0.242   0.501   0.259
  61.479    0.995     0.242   0.500   0.253
  61.523    0.998     0.242   0.501   0.255
  61.566    0.994     0.242   0.500   0.253
  61.610    0.992     0.242   0.499   0.251
  61.654    0.997     0.242   0.500   0.256
  61.697    0.998     0.242   0.500   0.256
  61.741    0.994     0.242   0.500   0.252
  61.785    0.998     0.242   0.501   0.255
  61.828    1.003     0.242   0.502   0.259
  61.872    1.003     0.242   0.502   0.258
  61.916    1.000     0.242   0.500   0.257
  61.959    1.000     0.242   0.500   0.258
  62.003    1.006     0.242   0.503   0.261
  62.046    1.004     0.242   0.503   0.259
  62.090    0.998     0.242   0.501   0.255
  62.134    1.005     0.242   0.502   0.262
  62.177    1.012     0.242   0.503   0.267
  62.221    1.009     0.242   0.503   0.264
  62.265    1.007     0.242   0.503   0.263
  62.308    1.007     0.242   0.501   0.264
  62.352    1.008     0.241   0.500   0.267
  62.396    1.005     0.241   0.500   0.264
  62.439    1.001     0.241   0.498   0.261
  62.483    0.999     0.241   0.497   0.261
  62.526    0.995     0.241   0.499   0.254
  62.570    0.995     0.241   0.499   0.255
  62.614    0.998     0.241   0.497   0.260
  62.657    0.997     0.241   0.496   0.260
  62.701    0.991     0.241   0.497   0.254
  62.745    0.991     0.241   0.497   0.253
  62.788    0.995     0.241   0.498   0.257
  62.832    0.994     0.241   0.498   0.255
  62.875    0.989     0.241   0.497   0.251
  62.919    0.993     0.241   0.497   0.255
  62.963    0.996     0.241   0.497   0.258
  63.006    0.989     0.241   0.496   0.252
  63.050    0.991     0.241   0.497   0.254
  63.094    0.997     0.241   0.498   0.258
  63.137    0.996     0.241   0.498   0.257
  63.181    0.998     0.241   0.498   0.259
  63.225    0.998     0.241   0.499   0.259
  63.268    1.002     0.242   0.500   0.261
  63.312    1.004     0.241   0.501   0.262
  63.355    1.003     0.241   0.499   0.262
  63.399    1.005     0.242   0.500   0.264
  63.443    1.010     0.242   0.503   0.266
  63.486    1.011     0.242   0.503   0.267
  63.530    1.007     0.242   0.502   0.263
  63.574    1.006     0.242   0.504   0.261
  63.617    1.006     0.241   0.502   0.263
  63.661    1.002     0.242   0.498   0.263
  63.705    1.006     0.242   0.501   0.264
  63.748    1.010     0.242   0.504   0.264
  63.792    1.003     0.242   0.502   0.259
  63.835    0.998     0.242   0.501   0.255
  63.879    0.996     0.242   0.500   0.254
  63.923    0.992     0.242   0.499   0.252
  63.966    0.991     0.242   0.499   0.250
  64.010    0.998     0.242   0.502   0.254
  64.054    1.001     0.242   0.502   0.257
  64.097    0.993     0.242   0.499   0.252
  64.141    0.991     0.242   0.500   0.249
  64.184    0.997     0.242   0.502   0.254
  64.228    0.999     0.242   0.500   0.257
  64.272    0.998     0.242   0.498   0.258
  64.315    1.002     0.242   0.500   0.261
  64.359    1.005     0.241   0.502   0.261
  64.403    1.002     0.242   0.502   0.259
  64.446    1.003     0.242   0.500   0.261
  64.490    1.011     0.242   0.502   0.267
  64.534    1.007     0.242   0.502   0.264
  64.577    1.002     0.241   0.500   0.261
  64.621    1.004     0.242   0.500   0.263
  64.664    1.005     0.241   0.499   0.264
  64.708    1.003     0.241   0.500   0.262
  64.752    0.997     0.242   0.499   0.256
  64.795    1.003     0.241   0.501   0.260
  64.839    1.006     0.241   0.502   0.263
  64.883    0.997     0.241   0.499   0.257
  64.926    0.995     0.241   0.497   0.256
  64.970    0.994     0.241   0.498   0.255
  65.014    0.994     0.241   0.498   0.254
  65.057    0.996     0.241   0.497   0.257
  65.101    0.995     0.241   0.497   0.257
  65.144    0.994     0.241   0.497   0.257
  65.188    0.995     0.241   0.497   0.257
  65.232    0.993     0.241   0.498   0.254
  65.275    0.993     0.241   0.499   0.253
  65.319    0.997     0.241   0.499   0.256
  65.363    0.998     0.241   0.498   0.260
  65.406    0.998     0.241   0.497   0.261
  65.450    0.996     0.241   0.497   0.258
  65.493    0.994     0.241   0.496   0.256
  65.537    0.999     0.241   0.497   0.261
  65.581    0.999     0.241   0.498   0.260
  65.624    0.994     0.241   0.499   0.254
  65.668    0.998     0.241   0.500   0.257
  65.712    1.003     0.241   0.500   0.262
  65.755    1.008     0.242   0.501   0.266
  65.799    1.011     0.242   0.501   0.268
  65.843    1.008     0.241   0.502   0.265
  65.886    1.007     0.241   0.502   0.264
  65.930    1.010     0.242   0.502   0.265
  65.973    1.009     0.242   0.503   0.264
  66.017    1.005     0.242   0.502   0.261
  66.061    1.004     0.241   0.503   0.259
  66.104    1.002     0.241   0.502   0.259
  66.148    1.001     0.242   0.502   0.257
  66.192    1.000     0.242   0.503   0.254
  66.235    0.996     0.242   0.502   0.252
  66.279    0.995     0.242   0.502   0.252
  66.323    0.997     0.242   0.502   0.253
  66.366    0.999     0.242   0.503   0.254
  66.410    0.999     0.242   0.501   0.256
  66.453    0.999     0.242   0.500   0.257
  66.497    1.002     0.242   0.501   0.258
  66.541    1.002     0.242   0.503   0.257
  66.584    1.000     0.242   0.502   0.257
  66.628    1.000     0.241   0.498   0.260
  66.672    0.997     0.242   0.498   0.257
  66.715    1.000     0.242   0.500   0.258
  66.759    1.001     0.242   0.499   0.260
  66.802    1.000     0.242   0.499   0.259
  66.846    1.001     0.242   0.499   0.261
  66.890    0.999     0.242   0.498   0.260
  66.933    1.000     0.242   0.499   0.259
  66.977    1.000     0.242   0.500   0.259
  67.021    0.998     0.241   0.499   0.258
  67.064    1.001     0.241   0.496   0.263
  67.108    1.001     0.241   0.496   0.264
  67.152    0.995     0.241   0.498   0.256
  67.195    0.997     0.242   0.499   0.257
  67.239    1.001     0.242   0.499   0.261
  67.282    0.998     0.241   0.497   0.259
  67.326    0.996     0.241   0.497   0.258
  67.370    0.998     0.241   0.498   0.259
  67.413    0.998     0.241   0.498   0.259
  67.457    0.997     0.241   0.499   0.257
  67.501    0.998     0.241   0.499   0.258
  67.544    0.998     0.241   0.497   0.260
  67.588    1.001     0.241   0.498   0.262
  67.632    0.998     0.241   0.500   0.257
  67.675    0.999     0.241   0.501   0.257
  67.719    1.005     0.241   0.500   0.264
  67.762    1.002     0.241   0.500   0.262
  67.806    0.999     0.241   0.500   0.258
  67.850    0.997     0.241   0.499   0.257
  67.893    1.000     0.242   0.501   0.257
  67.937    1.003     0.241   0.502   0.259
  67.981    1.000     0.241   0.499   0.259
  68.024    0.999     0.241   0.499   0.259
  68.068    1.003     0.241   0.501   0.261
  68.111    1.002     0.241   0.501   0.259
  68.155    0.998     0.241   0.501   0.255
  68.199    1.000     0.241   0.503   0.256
  68.242    1.006     0.241   0.504   0.260
  68.286    1.005     0.241   0.503   0.260
  68.330    1.002     0.241   0.501   0.260
  68.373    1.003     0.241   0.501   0.261
  68.417    1.004     0.242   0.503   0.259
  68.461    1.004     0.242   0.503   0.259
  68.504    1.002     0.242   0.501   0.259
  68.548    1.003     0.242   0.503   0.258
  68.591    1.003     0.242   0.503   0.258
  68.635    1.001     0.242   0.501   0.258
  68.679    0.997     0.241   0.500   0.256
  68.722    0.995     0.241   0.500   0.253
  68.766    0.998     0.242   0.502   0.254
  68.810    1.002     0.242   0.501   0.259
  68.853    1.000     0.242   0.499   0.259
  68.897    0.995     0.242   0.499   0.255
  68.941    0.994     0.242   0.499   0.254
  68.984    0.996     0.242   0.498   0.256
  69.028    0.997     0.242   0.498   0.257
  69.071    1.000     0.242   0.499   0.259
  69.115    1.002     0.242   0.499   0.261
  69.159    0.999     0.242   0.498   0.259
  69.202    0.998     0.242   0.496   0.260
  69.246    0.999     0.242   0.497   0.261
  69.290    1.000     0.242   0.498   0.260
  69.333    0.997     0.242   0.498   0.257
  69.377    0.996     0.241   0.498   0.257
  69.420    1.000     0.242   0.497   0.261
  69.464    1.003     0.242   0.496   0.265
  69.508    1.004     0.241   0.497   0.266
  69.551    1.004     0.241   0.500   0.262
  69.595    0.998     0.242   0.500   0.256
  69.639    0.997     0.242   0.497   0.258
  69.682    1.000     0.241   0.497   0.261
  69.726    0.997     0.241   0.498   0.257
  69.770    1.004     0.241   0.501   0.262
  69.813    1.006     0.241   0.500   0.265
  69.857    0.998     0.241   0.499   0.257
  69.900    0.997     0.241   0.501   0.255
  69.944    0.998     0.241   0.500   0.257
  69.988    1.000     0.241   0.501   0.258
  70.031    1.004     0.241   0.502   0.260
  70.075    1.003     0.241   0.501   0.261
  70.119    1.003     0.241   0.501   0.261
  70.162    1.000     0.241   0.502   0.257
  70.206    0.997     0.242   0.502   0.254
  70.250    1.004     0.242   0.502   0.260
  70.293    1.006     0.241   0.502   0.263
  70.337    1.001     0.241   0.502   0.259
  70.380    0.996     0.241   0.501   0.254
  70.424    0.994     0.241   0.500   0.253
  70.468    1.001     0.241   0.502   0.258
  70.511    1.002     0.241   0.503   0.258
  70.555    1.001     0.242   0.502   0.257
  70.599    1.000     0.241   0.501   0.258
  70.642    1.000     0.241   0.502   0.258
  70.686    0.998     0.241   0.500   0.257
  70.729    0.998     0.241   0.499   0.257
  70.773    1.003     0.242   0.501   0.260
  70.817    1.000     0.241   0.499   0.260
  70.860    0.997     0.241   0.498   0.258
  70.904    1.000     0.241   0.500   0.259
  70.948    1.002     0.242   0.501   0.259
  70.991    0.998     0.241   0.501   0.256
  71.035    0.999     0.242   0.499   0.258
  71.079    1.000     0.242   0.499   0.260
  71.122    0.996     0.241   0.500   0.255
  71.166    0.998     0.242   0.499   0.257
  71.209    1.002     0.242   0.499   0.261
  71.253    0.998     0.241   0.500   0.257
  71.297    0.997     0.241   0.498   0.258
  71.340    1.002     0.242   0.497   0.263
  71.384    0.999     0.242   0.497   0.260
  71.428    0.997     0.242   0.498   0.257
  71.471    1.003     0.242   0.500   0.261
  71.515    1.004     0.242   0.500   0.262
  71.559    1.001     0.242   0.498   0.261
  71.602    1.004     0.241   0.497   0.266
  71.646    1.001     0.242   0.497   0.262
  71.689    0.996     0.242   0.497   0.257
  71.733    0.999     0.241   0.498   0.259
  71.777    1.002     0.242   0.500   0.260
  71.820    1.002     0.242   0.500   0.260
  71.864    0.998     0.241   0.499   0.258
  71.908    0.996     0.241   0.498   0.257
  71.951    1.001     0.242   0.500   0.259
  71.995    1.000     0.242   0.501   0.257
  72.038    1.000     0.241   0.500   0.259
  72.082    1.003     0.242   0.500   0.262
  72.126    1.003     0.242   0.502   0.259
  72.169    1.005     0.242   0.503   0.261
  72.213    1.001     0.242   0.500   0.259
  72.257    0.996     0.241   0.499   0.256
  72.300    0.998     0.241   0.500   0.257
  72.344    1.003     0.241   0.501   0.260
  72.388    1.004     0.241   0.502   0.261
  72.431    0.999     0.241   0.502   0.256
  72.475    0.998     0.241   0.501   0.255
  72.518    0.997     0.241   0.502   0.254
  72.562    0.997     0.241   0.502   0.254
  72.606    1.002     0.242   0.502   0.258
  72.649    1.004     0.241   0.501   0.262
  72.693    1.003     0.241   0.501   0.260
  72.737    0.999     0.242   0.501   0.256
  72.780    0.998     0.241   0.499   0.258
  72.824    1.001     0.241   0.499   0.261
  72.868    0.998     0.241   0.501   0.256
  72.911    0.995     0.241   0.500   0.253
  72.955    0.995     0.241   0.500   0.254
  72.998    1.000     0.241   0.501   0.258
  73.042    1.002     0.241   0.500   0.260
  73.086    0.998     0.242   0.500   0.257
  73.129    0.998     0.241   0.499   0.258
  73.173    1.000     0.241   0.498   0.261
  73.217    1.001     0.242   0.499   0.261
  73.260    1.001     0.241   0.498   0.261
  73.304    1.002     0.241   0.499   0.261
  73.347    1.003     0.241   0.499   0.262
  73.391    1.001     0.241   0.499   0.261
  73.435    0.999     0.241   0.500   0.257
  73.478    0.999     0.241   0.498   0.260
  73.522    1.003     0.241   0.497   0.265
  73.566    1.003     0.242   0.499   0.262
  73.609    0.998     0.242   0.498   0.258
  73.653    0.998     0.242   0.498   0.259
  73.697    0.999     0.242   0.499   0.258
  73.740    0.997     0.242   0.498   0.257
  73.784    1.003     0.241   0.500   0.262
  73.827    1.007     0.241   0.500   0.266
  73.871    1.000     0.242   0.499   0.260
  73.915    0.996     0.242   0.499   0.255
  73.958    0.998     0.242   0.499   0.257
  74.002    1.005     0.242   0.500   0.263
  74.046    1.004     0.241   0.501   0.261
  74.089    1.001     0.242   0.502   0.258
  74.133    1.000     0.241   0.502   0.257
  74.176    0.995     0.242   0.499   0.254
  74.220    0.997     0.242   0.500   0.256
  74.264    1.000     0.242   0.501   0.258
  74.307    1.000     0.241   0.501   0.257
  74.351    1.001     0.242   0.501   0.258
  74.395    0.999     0.242   0.501   0.256
  74.438    0.999     0.242   0.500   0.257
  74.482    1.002     0.241   0.501   0.260
  74.526    1.003     0.241   0.500   0.261
  74.569    0.999     0.241   0.500   0.258
  74.613    1.003     0.242   0.502   0.259
  74.656    1.003     0.242   0.501   0.261
  74.700    0.996     0.241   0.500   0.254
  74.744    0.997     0.241   0.501   0.254
  74.787    1.002     0.241   0.501   0.260
  74.831    1.000     0.241   0.500   0.259
  74.875    0.996     0.241   0.499   0.256
  74.918    0.997     0.242   0.499   0.256
  74.962    1.002     0.242   0.502   0.259
  75.006    0.999     0.241   0.501   0.256
  75.049    0.997     0.241   0.500   0.255
  75.093    1.001     0.242   0.499   0.260
  75.136    1.001     0.241   0.499   0.260
  75.180    0.999     0.241   0.500   0.258
  75.224    0.998     0.241   0.499   0.257
  75.267    1.001     0.241   0.500   0.260
  75.311    1.001     0.241   0.498   0.261
  75.355    0.999     0.241   0.498   0.260
  75.398    1.003     0.241   0.499   0.263
  75.442    1.001     0.241   0.500   0.260
  75.485    0.999     0.241   0.499   0.259
  75.529    1.001     0.241   0.499   0.261
  75.573    0.999     0.242   0.500   0.258
  75.616    0.997     0.242   0.498   0.257
  75.660    1.000     0.241   0.498   0.262
  75.704    1.004     0.241   0.499   0.264
  75.747    1.000     0.241   0.500   0.259
  75.791    0.999     0.241   0.499   0.258
  75.835    1.000     0.242   0.499   0.260
  75.878    1.000     0.242   0.498   0.260
  75.922    1.000     0.241   0.499   0.260
  75.965    1.001     0.241   0.500   0.259
  76.009    1.002     0.241   0.500   0.261
  76.053    1.002     0.242   0.500   0.260
  76.096    0.999     0.242   0.501   0.256
  76.140    0.999     0.242   0.501   0.256
  76.184    1.002     0.241   0.502   0.259
  76.227    1.001     0.241   0.501   0.259
  76.271    1.001     0.241   0.501   0.258
  76.315    1.003     0.242   0.501   0.260
  76.358    1.001     0.242   0.500   0.259
  76.402    0.996     0.242   0.500   0.254
  76.445    0.995     0.241   0.501   0.253
  76.489    1.001     0.241   0.502   0.257
  76.533    1.002     0.242   0.501   0.260
  76.576    0.996     0.242   0.498   0.256
  76.620    0.997     0.241   0.499   0.256
  76.664    1.002     0.241   0.501   0.259
  76.707    1.001     0.242   0.501   0.259
  76.751    0.998     0.242   0.500   0.257
  76.794    1.000     0.241   0.500   0.259
  76.838    1.004     0.241   0.501   0.262
  76.882    0.999     0.241   0.500   0.258
  76.925    0.996     0.242   0.499   0.255
  76.969    0.999     0.242   0.499   0.258
  77.013    0.998     0.241   0.499   0.258
  77.056    1.001     0.241   0.499   0.260
  77.100    1.002     0.241   0.501   0.260
  77.144    0.999     0.241   0.500   0.258
  77.187    1.001     0.242   0.499   0.260
  77.231    1.002     0.242   0.500   0.261
  77.274    0.997     0.242   0.498   0.257
  77.318    0.995     0.241   0.498   0.256
  77.362    0.999     0.241   0.500   0.258
  77.405    1.000     0.242   0.500   0.259
  77.449    1.002     0.242   0.499   0.261
  77.493    1.000     0.241   0.500   0.258
  77.536    0.999     0.241   0.499   0.259
  77.580    1.002     0.241   0.499   0.261
  77.624    1.000     0.241   0.500   0.258
  77.667    1.000     0.242   0.499   0.259
  77.711    1.004     0.241   0.500   0.263
  77.754    1.002     0.241   0.501   0.260
  77.798    1.000     0.242   0.500   0.258
  77.842    1.001     0.241   0.499   0.261
  77.885    1.002     0.241   0.499   0.262
  77.929    1.001     0.241   0.500   0.260
  77.973    0.998     0.242   0.499   0.257
  78.016    0.997     0.241   0.500   0.256
  78.060    1.001     0.241   0.500   0.260
  78.103    1.003     0.241   0.500   0.261
  78.147    1.002     0.241   0.500   0.260
  78.191    1.002     0.241   0.501   0.260
  78.234    0.999     0.241   0.501   0.257
  78.278    0.998     0.242   0.501   0.256
  78.322    1.001     0.241   0.501   0.258
  78.365    1.000     0.241   0.500   0.258
  78.409    0.999     0.241   0.500   0.257
  78.453    1.000     0.241   0.500   0.259
  78.496    1.002     0.241   0.500   0.260
  78.540    1.000     0.241   0.500   0.259
  78.583    0.997     0.242   0.500   0.256
  78.627    0.999     0.241   0.502   0.255
  78.671    1.003     0.241   0.501   0.260
  78.714    1.001     0.241   0.499   0.261
  78.758    0.996     0.241   0.499   0.256
  78.802    0.997     0.241   0.501   0.255
  78.845    0.995     0.241   0.500   0.254
  78.889    0.993     0.241   0.499   0.253
  78.933    1.000     0.241   0.500   0.259
  78.976    1.001     0.242   0.500   0.259
  79.020    0.999     0.242   0.500   0.258
  79.063    1.000     0.242   0.499   0.260
  79.107    1.001     0.241   0.499   0.261
  79.151    1.003     0.241   0.501   0.261
  79.194    1.003     0.241   0.500   0.261
  79.238    1.002     0.242   0.500   0.261
  79.282    1.000     0.242   0.499   0.260
  79.325    1.001     0.242   0.498   0.261
  79.369    1.000     0.242   0.499   0.260
  79.412    0.999     0.242   0.500   0.257
  79.456    0.999     0.242   0.501   0.257
  79.500    0.999     0.241   0.500   0.258
  79.543    1.001     0.242   0.499   0.261
  79.587    1.002     0.242   0.499   0.261
  79.631    0.999     0.242   0.499   0.259
  79.674    0.998     0.241   0.499   0.258
  79.718    0.998     0.241   0.499   0.258
  79.762    1.001     0.242   0.501   0.259
  79.805    1.003     0.242   0.501   0.261
  79.849    1.000     0.241   0.500   0.259
  79.892    0.997     0.241   0.498   0.257
  79.936    1.002     0.241   0.499   0.262
  79.980    1.005     0.242   0.500   0.264
  80.023    1.000     0.242   0.502   0.257
  80.067    1.000     0.241   0.503   0.256
  80.111    1.002     0.241   0.501   0.259
  80.154    0.998     0.242   0.499   0.257
  80.198    0.999     0.241   0.500   0.257
  80.242    1.005     0.242   0.501   0.262
  80.285    1.004     0.242   0.501   0.261
  80.329    1.002     0.241   0.501   0.260
  80.372    1.002     0.241   0.500   0.261
  80.416    0.998     0.242   0.500   0.256
  80.460    0.996     0.242   0.500   0.255
  80.503    0.998     0.242   0.499   0.257
  80.547    0.999     0.241   0.500   0.257
  80.591    1.002     0.241   0.502   0.258
  80.634    1.001     0.242   0.500   0.259
  80.678    1.000     0.241   0.499   0.260
  80.721    1.003     0.241   0.500   0.262
  80.765    1.001     0.241   0.500   0.259
  80.809    0.998     0.242   0.499   0.257
  80.852    0.996     0.242   0.498   0.256
  80.896    0.998     0.241   0.500   0.256
  80.940    1.001     0.241   0.501   0.259
  80.983    1.000     0.241   0.500   0.259
  81.027    0.996     0.241   0.499   0.256
  81.071    0.996     0.241   0.500   0.255
  81.114    0.998     0.241   0.499   0.258
  81.158    0.999     0.241   0.499   0.259
  81.201    0.998     0.241   0.499   0.258
  81.245    0.995     0.241   0.498   0.256
  81.289    0.997     0.241   0.499   0.256
  81.332    1.001     0.241   0.500   0.260
  81.376    1.001     0.241   0.499   0.260
  81.420    1.001     0.242   0.500   0.259
  81.463    1.003     0.241   0.500   0.261
  81.507    1.004     0.241   0.499   0.263
  81.551    1.003     0.241   0.499   0.262
  81.594    1.001     0.241   0.500   0.260
  81.638    1.000     0.242   0.500   0.258
  81.681    1.000     0.242   0.500   0.259
  81.725    0.998     0.241   0.498   0.258
  81.769    0.999     0.241   0.500   0.258
  81.812    1.004     0.242   0.501   0.262
  81.856    1.005     0.242   0.501   0.263
  81.900    1.000     0.242   0.499   0.259
  81.943    0.997     0.242   0.499   0.256
  81.987    0.998     0.241   0.500   0.257
  82.030    1.001     0.241   0.500   0.259
  82.074    1.001     0.241   0.501   0.258
  82.118    1.002     0.242   0.502   0.259
  82.161    1.004     0.242   0.500   0.262
  82.205    1.002     0.241   0.500   0.260
  82.249    1.001     0.241   0.502   0.258
  82.292    0.999     0.242   0.501   0.256
