 Substance:   Al_U       MP_SQL 1.56 2023/12/12 10:46:32
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms       :    Al      U   
 Atom no.    :       1       2
 Occupancies:   0.9200  0.0800
 Amplitudes  :  19.3117 25.1244
 Scale factors:   1.0000   1.0000
 Masks	      :        1       1
 Smoothing FWHM [Å]   4.99999970E-02

 Output: S(Q)
    Q [A-1]          total            1  1             2  1             2  2
   2.40999985       1.47162199      0.214956194      0.799869061      0.456796706    
   2.41999984       1.52303123      0.226125717      0.843093753      0.453811705    
   2.42999983       1.60619748      0.239655092      0.890607953      0.475934416    
   2.44000006       1.73464251      0.256617665      0.946660042      0.531364858    
   2.45000005       1.89605439      0.276322752       1.01191747      0.607814193    
   2.46000004       2.05615592      0.296457261       1.08205485      0.677643836    
   2.47000003       2.18881011      0.315422535       1.15188444      0.721503079    
   2.48000002       2.29758692      0.334227145       1.22047234      0.742887318    
   2.49000001       2.41333199      0.355829597       1.29131901      0.766183257    
   2.50000000       2.55976200      0.381935388       1.36774814      0.810078323    
   2.50999999       2.75227928      0.413343608       1.45255780      0.886377871    
   2.51999998       2.97060347      0.447757661       1.54428244      0.978563190    
   2.52999997       3.18457937      0.482419461       1.64014268       1.06201732    
   2.53999996       3.36712170      0.516070962       1.73635817       1.11469257    
   2.54999995       3.51358080      0.549788475       1.83070624       1.13308609    
   2.55999994       3.64051485      0.585363388       1.92357159       1.13157976    
   2.56999993       3.76561952      0.622402132       2.01527357       1.12794375    
   2.57999992       3.90693498      0.659594893       2.10755992       1.13978028    
   2.58999991       4.06360006      0.695805430       2.19753599       1.17025840    
   2.59999990       4.22471333      0.731753111       2.27977848       1.21318161    
   2.60999990       4.36740398      0.767884552       2.34726071       1.25225878    
   2.61999989       4.48151302      0.804920316       2.39896154       1.27763081    
   2.62999988       4.57116079      0.842024922       2.43959522       1.28954065    
   2.63999987       4.63590956      0.875652969       2.47232246       1.28793406    
   2.64999986       4.68027020      0.903588772       2.49922180       1.27745962    
   2.65999985       4.69088793      0.923577428       2.51395869       1.25335157    
   2.66999984       4.65190601      0.935791314       2.50820112       1.20791340    
   2.67999983       4.55683422      0.942547798       2.47686434       1.13742185    
   2.69000006       4.41221285      0.945967078       2.42088246       1.04536343    
   2.70000005       4.23648548      0.946929872       2.34727287      0.942282498    
   2.71000004       4.04500866      0.944305241       2.26247358      0.838229775    
   2.72000003       3.85121012      0.936813295       2.17211246      0.742284358    
   2.73000002       3.66550970      0.925691664       2.08034587      0.659471869    
   2.74000001       3.49627280      0.914943874       1.98983455      0.591494381    
   2.75000000       3.33455729      0.906100392       1.89783061      0.530626237    
   2.75999999       3.16206884      0.897450686       1.79884052      0.465777546    
   2.76999998       2.96564174      0.884367764       1.69037795      0.390895873    
   2.77999997       2.74782419      0.863906980       1.57523870      0.308678597    
   2.78999996       2.52683043      0.836763084       1.46200597      0.228061453    
   2.79999995       2.31223583      0.805332780       1.35543370      0.151469588    
   2.80999994       2.10911870      0.773774147       1.25687981       7.84646794E-02
   2.81999993       1.92419088      0.746197283       1.16728067       1.07130315E-02
   2.82999992       1.76237118      0.724811435       1.08591938      -4.83596846E-02
   2.83999991       1.61399984      0.707255065       1.00784743     -0.101102635    
   2.84999990       1.46785891      0.690302014      0.928182364     -0.150625423    
   2.85999990       1.31792045      0.671926796      0.845905542     -0.199911907    
   2.86999989       1.17844617      0.654513180      0.766387582     -0.242454693    
   2.87999988       1.05861330      0.639094651      0.695812583     -0.276293963    
   2.88999987      0.960859418      0.625821471      0.635357678     -0.300319642    
   2.89999986      0.876177311      0.613514602      0.581883669     -0.319221020    
   2.90999985      0.794499338      0.601326942      0.530493557     -0.337321103    
   2.91999984      0.709000230      0.588516414      0.478870094     -0.358386278    
   2.92999983      0.615758181      0.574422956      0.426413357     -0.385078073    
   2.93999982      0.519778252      0.559791684      0.375929356     -0.415942788    
   2.95000005      0.432030946      0.546781838      0.331825376     -0.446576267    
   2.96000004      0.357733458      0.536022544      0.296316922     -0.474605948    
   2.97000003      0.299629569      0.527528822      0.267787188     -0.495686471    
   2.98000002      0.257565737      0.521013856      0.240691245     -0.504139423    
   2.99000001      0.232942373      0.517208457      0.209636420     -0.493902534    
   3.00000000      0.219258159      0.514689326      0.173527837     -0.468959004    
   3.00999999      0.207875580      0.511293769      0.136089489     -0.439507633    
   3.01999998      0.184892386      0.503398776      0.102836914     -0.421343297    
   3.02999997      0.148171127      0.490669668       7.63749182E-02 -0.418873429    
   3.03999996      0.105053991      0.475482345       5.54912947E-02 -0.425919682    
   3.04999995       7.02082813E-02  0.462338239       3.68254520E-02 -0.428955406    
   3.05999994       5.37099540E-02  0.453950167       1.82017386E-02 -0.418441951    
   3.06999993       5.47277331E-02  0.449962974       6.33339689E-04 -0.395868599    
