 Substance:Al_U       2023/12/12 09:53:01                     
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     100000000 cell pairs, j_rand          10
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms  :    Al      U   
 Atom no.        1       2
 Occups:   0.9200  0.0800
 Weights: Xray            12.9937 91.9693
 Masks	:        1       1
 Smoothing FWHM [Å-1]   8.72664675E-02

 Output: Z(Q)
 Partials index      1  1    1  2    2  2
   Q [A-1]   Al_Al   Al_U   U_U
  10.603     0.026   0.092   0.057
  10.647     0.032   0.120  -0.085
  10.690     0.017   0.130  -0.047
  10.734     0.015   0.105   0.026
  10.777     0.033   0.079  -0.080
  10.821     0.033   0.080  -0.155
  10.865     0.032   0.091  -0.062
  10.908     0.026   0.051   0.022
  10.952     0.026   0.013  -0.037
  10.996     0.028  -0.000  -0.032
  11.039     0.025   0.007   0.052
  11.083     0.022   0.021   0.037
  11.126     0.016   0.007  -0.012
  11.170     0.016  -0.014   0.041
  11.214     0.012  -0.042   0.127
  11.257     0.010  -0.045   0.068
  11.301     0.015  -0.046  -0.022
  11.345     0.013  -0.064   0.031
  11.388     0.010  -0.050   0.085
  11.432     0.004  -0.054   0.020
  11.476    -0.002  -0.089  -0.077
  11.519    -0.004  -0.090  -0.057
  11.563     0.005  -0.061  -0.012
  11.606     0.008  -0.056  -0.040
  11.650    -0.003  -0.057  -0.140
  11.694    -0.004  -0.057  -0.204
  11.737    -0.002  -0.067  -0.129
  11.781    -0.006  -0.064  -0.106
  11.825    -0.013  -0.042  -0.182
  11.868    -0.023  -0.044  -0.238
  11.912    -0.018  -0.046  -0.140
  11.956    -0.008  -0.025  -0.066
  11.999    -0.019  -0.043  -0.077
  12.043    -0.026  -0.035  -0.024
  12.086    -0.016   0.008   0.038
  12.130    -0.017  -0.001   0.039
  12.174    -0.021   0.012   0.002
  12.217    -0.021   0.045   0.085
  12.261    -0.020   0.036   0.119
  12.305    -0.017   0.030   0.048
  12.348    -0.021   0.029   0.048
  12.392    -0.028   0.046   0.107
  12.435    -0.023   0.062   0.103
  12.479    -0.016   0.068   0.067
  12.523    -0.017   0.074   0.094
  12.566    -0.015   0.053   0.071
  12.610    -0.016   0.042  -0.040
  12.654    -0.018   0.051  -0.022
  12.697    -0.018   0.032   0.121
  12.741    -0.015   0.029   0.124
  12.785    -0.005   0.067   0.041
  12.828    -0.002   0.041   0.040
  12.872    -0.002   0.000   0.122
  12.915    -0.000   0.030   0.023
  12.959    -0.006   0.035  -0.111
  13.003     0.000   0.008   0.021
  13.046     0.013   0.004   0.116
  13.090     0.007  -0.012   0.020
  13.134     0.008  -0.021  -0.068
  13.177     0.017  -0.003   0.039
  13.221     0.013   0.009   0.128
  13.265     0.013   0.007   0.031
  13.308     0.021  -0.035  -0.020
  13.352     0.021  -0.065  -0.005
  13.395     0.017  -0.053  -0.033
  13.439     0.020  -0.024  -0.055
  13.483     0.021  -0.019  -0.067
