 Substance:Al_U       2023/12/12 09:51:13                     
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     100000000 cell pairs, j_rand          10
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms  :    Al      U   
 Atom no.        1       2
 Occups:   0.9200  0.0800
 Weights: Xray            12.9937 91.9693
 Masks	:        1       1
 Smoothing FWHM [Å]   9.99999940E-02

 Output: g(r)
 Partials index        1  1    1  2    2  2
   r [A]   Total       Al_Al   Al_U   U_U
   1.460    0.000     0.000   0.000   0.000
   1.480    0.000     0.000   0.000   0.000
   1.500    0.000     0.000   0.000   0.000
   1.520    0.000     0.000   0.000   0.000
   1.540    0.000     0.000   0.000   0.000
   1.560    0.000     0.000   0.000   0.000
   1.580    0.000     0.000   0.000   0.000
   1.600    0.000     0.000   0.000   0.000
   1.620    0.000     0.000   0.000   0.000
   1.640    0.000     0.000   0.000   0.000
   1.660    0.000     0.000   0.000   0.000
   1.680    0.000     0.000   0.000   0.000
   1.700    0.000     0.000   0.000   0.000
   1.720    0.000     0.000   0.000   0.000
   1.740    0.000     0.000   0.000   0.000
   1.760    0.000     0.000   0.000   0.000
   1.780    0.000     0.000   0.000   0.000
   1.800    0.000     0.000   0.000   0.000
   1.820    0.000     0.000   0.000   0.000
   1.840    0.000     0.000   0.000   0.000
   1.860    0.000     0.000   0.000   0.000
   1.880    0.000     0.000   0.000   0.000
   1.900    0.000     0.000   0.000   0.000
   1.920    0.000     0.000   0.000   0.000
   1.940    0.000     0.000   0.000   0.000
   1.960    0.000     0.000   0.000   0.000
   1.980    0.000     0.000   0.000   0.000
   2.000    0.000     0.000   0.000   0.000
   2.020    0.000     0.000   0.000   0.000
   2.040    0.000     0.000   0.000   0.000
   2.060    0.000     0.000   0.000   0.000
   2.080    0.000     0.000   0.000   0.000
   2.100    0.000     0.000   0.000   0.000
   2.120    0.000     0.000   0.000   0.000
   2.140    0.000     0.000   0.000   0.000
   2.160    0.000     0.000   0.000   0.000
   2.180    0.001     0.001   0.000   0.000
   2.200    0.006     0.006   0.000   0.000
   2.220    0.019     0.019   0.000   0.000
   2.240    0.051     0.051   0.000   0.000
   2.260    0.110     0.110   0.000   0.000
   2.280    0.203     0.203   0.000   0.000
   2.300    0.324     0.324   0.000   0.000
   2.320    0.456     0.456   0.000   0.000
   2.340    0.578     0.578   0.000   0.000
   2.360    0.672     0.672   0.000   0.000
   2.380    0.731     0.731   0.000   0.000
   2.400    0.763     0.763   0.000   0.000
   2.420    0.782     0.782   0.000   0.000
   2.440    0.798     0.798   0.000   0.000
   2.460    0.812     0.812   0.000   0.000
   2.480    0.818     0.818   0.000   0.000
   2.500    0.816     0.816   0.000   0.000
   2.520    0.815     0.815   0.000   0.000
   2.540    0.820     0.820   0.000   0.000
   2.560    0.829     0.828   0.002   0.000
   2.580    0.838     0.833   0.006   0.000
   2.600    0.847     0.833   0.014   0.000
   2.620    0.863     0.834   0.029   0.000
   2.640    0.889     0.839   0.050   0.000
   2.660    0.923     0.845   0.078   0.000
   2.680    0.960     0.847   0.113   0.000
   2.700    1.003     0.842   0.161   0.000
   2.720    1.065     0.836   0.229   0.000
   2.740    1.150     0.832   0.317   0.000
   2.760    1.243     0.830   0.413   0.000
   2.780    1.326     0.824   0.502   0.000
   2.800    1.395     0.812   0.583   0.000
   2.820    1.466     0.799   0.667   0.000
   2.840    1.554     0.786   0.768   0.000
   2.860    1.654     0.776   0.878   0.000
   2.880    1.752     0.763   0.987   0.003
   2.900    1.850     0.744   1.094   0.012
   2.920    1.973     0.721   1.214   0.039
   2.940    2.148     0.696   1.355   0.097
   2.960    2.373     0.673   1.502   0.198
   2.980    2.627     0.651   1.636   0.340
   3.000    2.879     0.629   1.755   0.494
   3.020    3.112     0.608   1.881   0.623
   3.040    3.310     0.588   2.025   0.697
   3.060    3.449     0.569   2.171   0.709
   3.080    3.509     0.549   2.283   0.677
   3.100    3.492     0.529   2.334   0.629
   3.120    3.425     0.510   2.328   0.587
   3.140    3.334     0.491   2.282   0.561
   3.160    3.230     0.472   2.210   0.547
   3.180    3.099     0.453   2.114   0.531
   3.200    2.926     0.435   1.984   0.507
   3.220    2.713     0.417   1.817   0.479
   3.240    2.474     0.401   1.618   0.454
   3.260    2.230     0.386   1.412   0.432
   3.280    2.000     0.373   1.222   0.405
   3.300    1.790     0.361   1.056   0.373
   3.320    1.596     0.350   0.907   0.340
   3.340    1.414     0.339   0.763   0.312
   3.360    1.247     0.329   0.628   0.290
   3.380    1.105     0.318   0.515   0.272
   3.400    0.997     0.308   0.434   0.255
   3.420    0.921     0.299   0.385   0.236
   3.440    0.864     0.291   0.357   0.217
   3.460    0.815     0.282   0.338   0.195
   3.480    0.766     0.274   0.321   0.171
   3.500    0.713     0.266   0.302   0.145
   3.520    0.656     0.258   0.281   0.118
   3.540    0.596     0.250   0.258   0.088
   3.560    0.536     0.243   0.234   0.059
   3.580    0.483     0.237   0.212   0.034
   3.600    0.442     0.233   0.193   0.017
   3.620    0.413     0.230   0.176   0.007
   3.640    0.393     0.228   0.162   0.002
   3.660    0.377     0.227   0.150   0.001
   3.680    0.366     0.225   0.140   0.000
   3.700    0.356     0.224   0.132   0.000
   3.720    0.348     0.223   0.125   0.000
   3.740    0.341     0.223   0.119   0.000
   3.760    0.336     0.224   0.112   0.000
   3.780    0.332     0.225   0.108   0.000
   3.800    0.330     0.226   0.104   0.000
   3.820    0.329     0.226   0.103   0.000
   3.840    0.328     0.225   0.102   0.000
   3.860    0.327     0.225   0.102   0.000
   3.880    0.326     0.224   0.102   0.000
   3.900    0.326     0.225   0.101   0.000
   3.920    0.327     0.226   0.101   0.000
   3.940    0.329     0.229   0.100   0.000
   3.960    0.332     0.232   0.100   0.000
   3.980    0.336     0.235   0.100   0.000
   4.000    0.339     0.238   0.100   0.001
   4.020    0.341     0.241   0.099   0.001
   4.040    0.344     0.244   0.098   0.001
   4.060    0.346     0.247   0.097   0.002
   4.080    0.348     0.251   0.096   0.001
   4.100    0.350     0.254   0.094   0.001
   4.120    0.351     0.258   0.092   0.001
   4.140    0.352     0.262   0.090   0.000
   4.160    0.355     0.267   0.088   0.000
   4.180    0.360     0.273   0.087   0.000
   4.200    0.368     0.279   0.089   0.000
   4.220    0.380     0.286   0.093   0.000
   4.240    0.393     0.294   0.099   0.000
   4.260    0.405     0.300   0.105   0.000
   4.280    0.416     0.307   0.109   0.000
   4.300    0.426     0.313   0.113   0.000
   4.320    0.437     0.320   0.117   0.000
   4.340    0.451     0.328   0.122   0.000
   4.360    0.466     0.337   0.129   0.000
   4.380    0.482     0.345   0.137   0.000
   4.400    0.497     0.352   0.145   0.000
   4.420    0.513     0.360   0.153   0.000
   4.440    0.530     0.367   0.164   0.000
   4.460    0.549     0.374   0.175   0.000
   4.480    0.566     0.381   0.185   0.000
   4.500    0.583     0.389   0.195   0.000
   4.520    0.602     0.396   0.205   0.000
   4.540    0.623     0.404   0.219   0.000
   4.560    0.647     0.412   0.235   0.000
   4.580    0.672     0.419   0.253   0.000
   4.600    0.698     0.426   0.272   0.000
   4.620    0.726     0.433   0.293   0.000
   4.640    0.758     0.441   0.316   0.000
   4.660    0.792     0.450   0.341   0.001
   4.680    0.826     0.458   0.366   0.002
   4.700    0.859     0.464   0.391   0.004
   4.720    0.896     0.469   0.420   0.006
   4.740    0.937     0.474   0.454   0.009
   4.760    0.981     0.478   0.490   0.013
   4.780    1.024     0.481   0.524   0.018
   4.800    1.068     0.485   0.556   0.027
   4.820    1.114     0.488   0.586   0.040
   4.840    1.165     0.493   0.617   0.056
   4.860    1.214     0.496   0.645   0.073
   4.880    1.255     0.499   0.669   0.087
   4.900    1.286     0.499   0.687   0.100
   4.920    1.317     0.498   0.703   0.116
   4.940    1.354     0.496   0.720   0.137
   4.960    1.392     0.494   0.736   0.161
   4.980    1.422     0.492   0.748   0.183
   5.000    1.442     0.489   0.754   0.199
   5.020    1.458     0.485   0.758   0.216
   5.040    1.478     0.482   0.762   0.234
   5.060    1.499     0.480   0.766   0.253
   5.080    1.512     0.477   0.769   0.267
   5.100    1.516     0.474   0.768   0.274
   5.120    1.517     0.472   0.766   0.279
   5.140    1.522     0.469   0.764   0.288
   5.160    1.527     0.467   0.760   0.301
   5.180    1.526     0.464   0.753   0.309
   5.200    1.513     0.461   0.741   0.311
   5.220    1.495     0.457   0.728   0.310
   5.240    1.479     0.454   0.714   0.311
   5.260    1.466     0.451   0.702   0.314
   5.280    1.451     0.447   0.690   0.314
   5.300    1.432     0.443   0.677   0.312
   5.320    1.412     0.439   0.664   0.309
   5.340    1.395     0.435   0.650   0.310
   5.360    1.381     0.432   0.636   0.314
   5.380    1.368     0.428   0.623   0.316
   5.400    1.353     0.424   0.611   0.318
   5.420    1.340     0.420   0.599   0.321
   5.440    1.330     0.415   0.590   0.325
   5.460    1.318     0.412   0.580   0.326
   5.480    1.299     0.409   0.570   0.320
   5.500    1.275     0.405   0.560   0.309
   5.520    1.255     0.402   0.552   0.301
   5.540    1.244     0.398   0.546   0.300
   5.560    1.240     0.395   0.540   0.305
   5.580    1.236     0.392   0.534   0.310
   5.600    1.228     0.390   0.526   0.313
   5.620    1.217     0.388   0.515   0.314
   5.640    1.207     0.387   0.505   0.315
   5.660    1.197     0.386   0.495   0.315
   5.680    1.185     0.385   0.487   0.312
   5.700    1.172     0.384   0.482   0.306
   5.720    1.163     0.383   0.479   0.301
   5.740    1.157     0.381   0.477   0.299
   5.760    1.150     0.380   0.474   0.295
   5.780    1.138     0.380   0.469   0.289
   5.800    1.122     0.378   0.462   0.281
   5.820    1.107     0.377   0.455   0.275
   5.840    1.098     0.375   0.449   0.273
   5.860    1.092     0.373   0.445   0.274
   5.880    1.086     0.371   0.440   0.275
   5.900    1.078     0.368   0.435   0.275
   5.920    1.071     0.365   0.429   0.277
   5.940    1.068     0.362   0.423   0.282
   5.960    1.068     0.360   0.420   0.287
   5.980    1.069     0.359   0.420   0.290
   6.000    1.070     0.358   0.420   0.291
   6.020    1.072     0.357   0.419   0.295
   6.040    1.079     0.357   0.416   0.306
   6.060    1.089     0.356   0.409   0.325
   6.080    1.101     0.354   0.401   0.347
   6.100    1.114     0.351   0.393   0.370
   6.120    1.129     0.348   0.388   0.393
   6.140    1.145     0.345   0.383   0.417
   6.160    1.162     0.342   0.379   0.441
   6.180    1.173     0.339   0.374   0.459
   6.200    1.176     0.337   0.369   0.470
   6.220    1.170     0.334   0.364   0.471
   6.240    1.159     0.332   0.360   0.467
   6.260    1.145     0.330   0.356   0.459
   6.280    1.129     0.328   0.351   0.449
   6.300    1.108     0.327   0.344   0.437
   6.320    1.083     0.327   0.337   0.419
   6.340    1.053     0.327   0.331   0.396
   6.360    1.022     0.327   0.326   0.369
   6.380    0.990     0.328   0.322   0.341
   6.400    0.957     0.328   0.317   0.312
   6.420    0.923     0.329   0.310   0.284
   6.440    0.888     0.329   0.302   0.257
   6.460    0.856     0.329   0.295   0.232
   6.480    0.830     0.330   0.290   0.210
   6.500    0.810     0.331   0.287   0.192
   6.520    0.791     0.332   0.284   0.175
   6.540    0.770     0.333   0.281   0.156
   6.560    0.748     0.334   0.279   0.135
   6.580    0.726     0.336   0.277   0.113
   6.600    0.708     0.339   0.277   0.093
   6.620    0.693     0.341   0.277   0.076
   6.640    0.681     0.343   0.278   0.060
   6.660    0.670     0.345   0.277   0.048
   6.680    0.663     0.347   0.276   0.039
   6.700    0.661     0.350   0.276   0.035
   6.720    0.662     0.353   0.276   0.033
   6.740    0.666     0.356   0.278   0.032
   6.760    0.670     0.359   0.280   0.031
   6.780    0.675     0.362   0.283   0.030
   6.800    0.681     0.364   0.286   0.031
   6.820    0.688     0.366   0.289   0.032
   6.840    0.695     0.368   0.293   0.034
   6.860    0.704     0.370   0.298   0.036
   6.880    0.716     0.374   0.305   0.037
   6.900    0.731     0.377   0.315   0.038
   6.920    0.747     0.382   0.325   0.040
   6.940    0.764     0.386   0.336   0.042
   6.960    0.781     0.390   0.347   0.044
   6.980    0.798     0.394   0.358   0.046
   7.000    0.817     0.398   0.370   0.049
   7.020    0.838     0.401   0.383   0.055
   7.040    0.863     0.404   0.397   0.063
   7.060    0.890     0.405   0.411   0.073
   7.080    0.915     0.407   0.426   0.083
   7.100    0.939     0.408   0.439   0.091
   7.120    0.959     0.411   0.452   0.097
   7.140    0.978     0.414   0.463   0.100
   7.160    0.995     0.418   0.474   0.104
   7.180    1.014     0.421   0.483   0.109
   7.200    1.035     0.424   0.492   0.119
   7.220    1.058     0.425   0.501   0.132
   7.240    1.083     0.427   0.511   0.146
   7.260    1.108     0.428   0.521   0.159
   7.280    1.132     0.430   0.532   0.170
   7.300    1.153     0.430   0.544   0.179
   7.320    1.172     0.431   0.554   0.187
   7.340    1.187     0.431   0.563   0.193
   7.360    1.199     0.430   0.571   0.198
   7.380    1.208     0.429   0.577   0.202
   7.400    1.217     0.429   0.583   0.204
   7.420    1.225     0.429   0.589   0.207
   7.440    1.234     0.429   0.593   0.212
   7.460    1.242     0.430   0.596   0.217
   7.480    1.250     0.430   0.597   0.223
   7.500    1.260     0.430   0.598   0.231
   7.520    1.270     0.430   0.600   0.240
   7.540    1.279     0.429   0.602   0.248
   7.560    1.286     0.428   0.605   0.254
   7.580    1.289     0.426   0.605   0.258
   7.600    1.290     0.424   0.605   0.261
   7.620    1.289     0.422   0.603   0.264
   7.640    1.287     0.420   0.601   0.266
   7.660    1.284     0.419   0.600   0.264
   7.680    1.278     0.418   0.600   0.260
   7.700    1.270     0.418   0.598   0.254
   7.720    1.262     0.417   0.596   0.250
   7.740    1.256     0.416   0.591   0.249
   7.760    1.253     0.415   0.586   0.251
   7.780    1.251     0.414   0.581   0.257
   7.800    1.249     0.412   0.575   0.263
   7.820    1.242     0.409   0.568   0.265
   7.840    1.228     0.406   0.561   0.261
   7.860    1.211     0.404   0.554   0.252
   7.880    1.193     0.401   0.550   0.242
   7.900    1.179     0.400   0.546   0.233
   7.920    1.165     0.398   0.543   0.224
   7.940    1.152     0.397   0.538   0.217
   7.960    1.138     0.395   0.531   0.211
   7.980    1.124     0.394   0.523   0.207
   8.000    1.112     0.392   0.515   0.205
   8.020    1.100     0.390   0.508   0.202
   8.040    1.087     0.388   0.502   0.197
   8.060    1.074     0.386   0.499   0.189
   8.080    1.062     0.384   0.497   0.181
   8.100    1.049     0.383   0.495   0.172
   8.120    1.036     0.381   0.492   0.163
   8.140    1.020     0.379   0.486   0.155
   8.160    1.004     0.377   0.480   0.147
   8.180    0.988     0.376   0.473   0.139
   8.200    0.973     0.374   0.466   0.132
   8.220    0.957     0.373   0.460   0.125
   8.240    0.942     0.371   0.453   0.118
   8.260    0.929     0.369   0.447   0.112
   8.280    0.918     0.367   0.442   0.109
   8.300    0.909     0.365   0.437   0.107
   8.320    0.902     0.364   0.432   0.106
   8.340    0.896     0.362   0.427   0.107
   8.360    0.891     0.360   0.423   0.107
   8.380    0.888     0.359   0.421   0.108
   8.400    0.886     0.358   0.419   0.108
   8.420    0.882     0.357   0.417   0.107
   8.440    0.875     0.355   0.414   0.106
   8.460    0.868     0.354   0.411   0.104
   8.480    0.863     0.353   0.408   0.103
   8.500    0.862     0.353   0.407   0.102
   8.520    0.862     0.353   0.406   0.102
   8.540    0.862     0.354   0.406   0.102
   8.560    0.862     0.355   0.407   0.100
   8.580    0.861     0.355   0.407   0.098
   8.600    0.859     0.355   0.408   0.096
   8.620    0.857     0.355   0.407   0.095
   8.640    0.855     0.355   0.406   0.093
   8.660    0.853     0.355   0.405   0.093
   8.680    0.853     0.356   0.405   0.092
   8.700    0.854     0.356   0.406   0.092
   8.720    0.856     0.356   0.406   0.093
   8.740    0.858     0.357   0.406   0.094
   8.760    0.860     0.358   0.405   0.097
   8.780    0.862     0.359   0.404   0.100
   8.800    0.867     0.360   0.403   0.103
   8.820    0.874     0.361   0.405   0.107
   8.840    0.882     0.362   0.407   0.112
   8.860    0.890     0.363   0.409   0.118
   8.880    0.896     0.364   0.411   0.122
   8.900    0.899     0.364   0.412   0.123
   8.920    0.901     0.365   0.414   0.122
   8.940    0.902     0.366   0.416   0.120
   8.960    0.903     0.366   0.418   0.119
   8.980    0.903     0.367   0.418   0.118
   9.000    0.903     0.367   0.418   0.117
   9.020    0.901     0.368   0.418   0.116
   9.040    0.899     0.368   0.416   0.114
   9.060    0.898     0.370   0.415   0.114
   9.080    0.899     0.371   0.413   0.115
   9.100    0.902     0.372   0.413   0.116
   9.120    0.905     0.374   0.413   0.118
   9.140    0.909     0.375   0.413   0.121
   9.160    0.913     0.376   0.413   0.123
   9.180    0.916     0.378   0.412   0.126
   9.200    0.919     0.379   0.412   0.128
   9.220    0.921     0.380   0.411   0.129
   9.240    0.925     0.382   0.413   0.130
   9.260    0.929     0.383   0.416   0.130
   9.280    0.932     0.384   0.420   0.129
   9.300    0.936     0.384   0.425   0.127
   9.320    0.940     0.386   0.430   0.124
   9.340    0.945     0.387   0.435   0.123
   9.360    0.951     0.389   0.440   0.123
   9.380    0.956     0.390   0.442   0.124
   9.400    0.960     0.391   0.442   0.127
   9.420    0.961     0.392   0.440   0.129
   9.440    0.962     0.393   0.440   0.130
   9.460    0.965     0.394   0.441   0.130
   9.480    0.971     0.395   0.444   0.132
   9.500    0.980     0.397   0.447   0.135
   9.520    0.990     0.399   0.451   0.140
   9.540    1.000     0.400   0.455   0.145
   9.560    1.010     0.401   0.459   0.149
   9.580    1.019     0.402   0.464   0.153
   9.600    1.027     0.402   0.469   0.156
   9.620    1.036     0.401   0.474   0.161
   9.640    1.046     0.401   0.479   0.166
   9.660    1.056     0.401   0.484   0.171
   9.680    1.067     0.402   0.489   0.176
   9.700    1.078     0.403   0.494   0.181
   9.720    1.090     0.404   0.499   0.187
   9.740    1.102     0.405   0.502   0.194
   9.760    1.112     0.405   0.505   0.202
   9.780    1.121     0.405   0.506   0.210
   9.800    1.131     0.405   0.508   0.218
   9.820    1.142     0.405   0.511   0.227
   9.840    1.155     0.405   0.514   0.236
   9.860    1.168     0.406   0.518   0.244
   9.880    1.176     0.407   0.521   0.248
   9.900    1.179     0.407   0.523   0.249
   9.920    1.178     0.407   0.524   0.247
   9.940    1.176     0.406   0.524   0.246
   9.960    1.175     0.405   0.524   0.246
   9.980    1.175     0.404   0.525   0.246
  10.000    1.177     0.404   0.526   0.247
  10.020    1.177     0.403   0.527   0.247
  10.040    1.176     0.403   0.527   0.246
  10.060    1.174     0.402   0.526   0.245
  10.080    1.172     0.402   0.524   0.246
  10.100    1.171     0.401   0.522   0.248
  10.120    1.168     0.400   0.518   0.250
  10.140    1.164     0.400   0.515   0.249
  10.160    1.159     0.399   0.513   0.246
  10.180    1.154     0.399   0.513   0.242
  10.200    1.152     0.399   0.514   0.239
  10.220    1.149     0.398   0.515   0.235
  10.240    1.143     0.397   0.514   0.231
  10.260    1.135     0.396   0.512   0.226
  10.280    1.127     0.395   0.510   0.222
  10.300    1.119     0.394   0.508   0.217
  10.320    1.113     0.393   0.505   0.214
  10.340    1.105     0.393   0.501   0.211
  10.360    1.098     0.393   0.496   0.209
  10.380    1.089     0.392   0.489   0.209
  10.400    1.081     0.391   0.482   0.208
  10.420    1.072     0.391   0.475   0.206
  10.440    1.062     0.390   0.470   0.202
  10.460    1.053     0.389   0.467   0.197
  10.480    1.044     0.388   0.466   0.190
  10.500    1.035     0.387   0.466   0.182
  10.520    1.026     0.385   0.467   0.175
  10.540    1.019     0.383   0.466   0.169
  10.560    1.013     0.381   0.465   0.167
  10.580    1.007     0.379   0.462   0.166
  10.600    1.000     0.378   0.457   0.165
  10.620    0.992     0.377   0.452   0.162
  10.640    0.981     0.377   0.447   0.157
  10.660    0.970     0.376   0.443   0.151
  10.680    0.961     0.376   0.440   0.145
  10.700    0.954     0.375   0.439   0.140
  10.720    0.950     0.375   0.439   0.137
  10.740    0.948     0.374   0.439   0.134
  10.760    0.945     0.374   0.438   0.133
  10.780    0.941     0.374   0.436   0.132
  10.800    0.937     0.373   0.433   0.131
  10.820    0.934     0.373   0.431   0.130
  10.840    0.931     0.372   0.429   0.130
  10.860    0.929     0.371   0.427   0.130
  10.880    0.928     0.370   0.427   0.131
  10.900    0.927     0.370   0.427   0.131
  10.920    0.927     0.369   0.427   0.130
  10.940    0.926     0.369   0.427   0.130
  10.960    0.926     0.369   0.427   0.130
  10.980    0.926     0.369   0.426   0.131
  11.000    0.925     0.368   0.425   0.131
  11.020    0.921     0.368   0.423   0.130
  11.040    0.918     0.368   0.421   0.129
  11.060    0.916     0.368   0.419   0.129
  11.080    0.917     0.368   0.418   0.130
  11.100    0.919     0.369   0.418   0.132
  11.120    0.921     0.369   0.418   0.134
  11.140    0.921     0.369   0.418   0.134
  11.160    0.920     0.369   0.418   0.133
  11.180    0.919     0.369   0.417   0.132
  11.200    0.920     0.369   0.418   0.132
  11.220    0.923     0.370   0.419   0.134
  11.240    0.927     0.370   0.420   0.137
  11.260    0.930     0.371   0.421   0.138
  11.280    0.932     0.372   0.422   0.138
  11.300    0.932     0.372   0.422   0.137
  11.320    0.931     0.373   0.422   0.136
  11.340    0.930     0.374   0.422   0.134
  11.360    0.930     0.374   0.423   0.133
  11.380    0.929     0.374   0.423   0.132
  11.400    0.930     0.374   0.424   0.131
  11.420    0.932     0.375   0.424   0.132
  11.440    0.936     0.375   0.425   0.136
  11.460    0.943     0.376   0.426   0.141
  11.480    0.951     0.377   0.428   0.146
  11.500    0.959     0.377   0.432   0.150
  11.520    0.966     0.379   0.435   0.152
  11.540    0.970     0.380   0.439   0.151
  11.560    0.973     0.382   0.441   0.150
  11.580    0.975     0.383   0.442   0.149
  11.600    0.978     0.384   0.443   0.151
  11.620    0.981     0.384   0.444   0.154
  11.640    0.986     0.384   0.447   0.156
  11.660    0.992     0.383   0.450   0.158
  11.680    0.997     0.383   0.454   0.159
  11.700    1.001     0.384   0.458   0.160
  11.720    1.005     0.385   0.460   0.160
  11.740    1.009     0.387   0.462   0.160
  11.760    1.011     0.388   0.463   0.159
  11.780    1.012     0.389   0.465   0.158
  11.800    1.014     0.390   0.467   0.157
  11.820    1.018     0.390   0.470   0.159
  11.840    1.024     0.391   0.472   0.162
  11.860    1.030     0.391   0.475   0.165
  11.880    1.035     0.390   0.478   0.167
  11.900    1.039     0.390   0.481   0.168
  11.920    1.042     0.391   0.483   0.168
  11.940    1.047     0.392   0.486   0.169
  11.960    1.054     0.393   0.489   0.172
  11.980    1.060     0.395   0.491   0.175
  12.000    1.066     0.396   0.492   0.178
  12.020    1.068     0.396   0.493   0.178
  12.040    1.066     0.396   0.494   0.176
  12.060    1.062     0.396   0.495   0.171
  12.080    1.057     0.395   0.496   0.165
  12.100    1.053     0.395   0.497   0.161
  12.120    1.050     0.395   0.498   0.158
  12.140    1.047     0.395   0.497   0.155
  12.160    1.046     0.395   0.496   0.154
  12.180    1.046     0.396   0.495   0.155
  12.200    1.047     0.397   0.495   0.156
  12.220    1.049     0.397   0.495   0.157
  12.240    1.051     0.397   0.496   0.158
  12.260    1.051     0.396   0.497   0.157
  12.280    1.050     0.396   0.498   0.156
  12.300    1.047     0.395   0.499   0.154
  12.320    1.045     0.395   0.499   0.151
  12.340    1.042     0.394   0.500   0.149
  12.360    1.041     0.393   0.500   0.149
  12.380    1.042     0.392   0.500   0.150
  12.400    1.044     0.392   0.500   0.153
  12.420    1.045     0.391   0.499   0.154
  12.440    1.044     0.391   0.499   0.154
  12.460    1.042     0.391   0.498   0.152
  12.480    1.038     0.391   0.498   0.149
  12.500    1.035     0.391   0.497   0.147
  12.520    1.032     0.391   0.496   0.145
  12.540    1.030     0.391   0.494   0.145
  12.560    1.029     0.390   0.492   0.147
  12.580    1.030     0.389   0.491   0.150
  12.600    1.031     0.389   0.490   0.152
  12.620    1.031     0.388   0.490   0.154
  12.640    1.031     0.388   0.489   0.154
  12.660    1.030     0.388   0.489   0.153
  12.680    1.027     0.388   0.487   0.152
  12.700    1.024     0.388   0.485   0.152
