 Substance:Al_U       2023/12/12 09:53:56                     
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     100000000 cell pairs, j_rand          10
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms  :    Al      U   
 Atom no.        1       2
 Occups:   0.9200  0.0800
 Weights: Xray            12.9937 91.9693
 Masks	:        1       1
 Smoothing FWHM [Å-1]  0.174532935    

 Output: Z(Q)
 Partials index      1  1    1  2    2  2
   Q [A-1]   Al_Al   Al_U   U_U
  13.046     0.006   0.005   0.019
  13.090     0.008   0.001   0.023
  13.134     0.010  -0.004   0.028
  13.177     0.012  -0.008   0.029
  13.221     0.014  -0.013   0.027
  13.265     0.016  -0.019   0.018
  13.308     0.017  -0.025   0.006
  13.352     0.018  -0.031  -0.007
  13.395     0.019  -0.036  -0.020
  13.439     0.019  -0.039  -0.030
  13.483     0.019  -0.041  -0.036
  13.526     0.019  -0.042  -0.039
  13.570     0.019  -0.043  -0.041
  13.614     0.019  -0.042  -0.045
  13.657     0.018  -0.042  -0.053
  13.701     0.017  -0.040  -0.065
  13.744     0.016  -0.039  -0.079
  13.788     0.014  -0.036  -0.091
  13.832     0.013  -0.033  -0.098
  13.875     0.011  -0.029  -0.098
  13.919     0.010  -0.023  -0.089
  13.963     0.010  -0.016  -0.075
  14.006     0.009  -0.008  -0.058
  14.050     0.008   0.001  -0.040
  14.094     0.007   0.010  -0.023
  14.137     0.005   0.018  -0.009
  14.181     0.003   0.023   0.004
  14.224     0.000   0.026   0.015
  14.268    -0.002   0.027   0.025
  14.312    -0.004   0.027   0.033
  14.355    -0.005   0.028   0.037
  14.399    -0.005   0.029   0.039
  14.443    -0.006   0.031   0.037
  14.486    -0.006   0.035   0.034
  14.530    -0.007   0.038   0.030
  14.573    -0.008   0.039   0.027
  14.617    -0.009   0.040   0.027
  14.661    -0.011   0.038   0.029
  14.704    -0.012   0.035   0.033
  14.748    -0.013   0.031   0.038
  14.792    -0.013   0.026   0.042
  14.835    -0.014   0.020   0.046
  14.879    -0.015   0.014   0.048
  14.923    -0.016   0.008   0.048
  14.966    -0.016   0.001   0.048
  15.010    -0.016  -0.005   0.049
  15.053    -0.016  -0.010   0.049
  15.097    -0.015  -0.015   0.048
  15.141    -0.014  -0.019   0.045
  15.184    -0.012  -0.022   0.040
  15.228    -0.011  -0.025   0.033
  15.272    -0.010  -0.028   0.024
  15.315    -0.009  -0.030   0.016
  15.359    -0.008  -0.031   0.007
  15.403    -0.007  -0.032  -0.001
  15.446    -0.006  -0.032  -0.009
  15.490    -0.004  -0.031  -0.017
  15.533    -0.002  -0.030  -0.024
  15.577     0.000  -0.027  -0.031
  15.621     0.001  -0.024  -0.037
  15.664     0.003  -0.020  -0.043
  15.708     0.003  -0.016  -0.049
  15.752     0.004  -0.013  -0.055
  15.795     0.005  -0.011  -0.061
  15.839     0.007  -0.010  -0.066
  15.882     0.008  -0.009  -0.070
  15.926     0.009  -0.006  -0.072
  15.970     0.010  -0.003  -0.071
  16.013     0.010   0.003  -0.069
  16.057     0.010   0.009  -0.065
  16.101     0.010   0.014  -0.059
  16.144     0.010   0.019  -0.052
  16.188     0.010   0.022  -0.043
  16.232     0.011   0.024  -0.031
  16.275     0.011   0.025  -0.016
  16.319     0.012   0.025   0.001
  16.362     0.012   0.024   0.019
  16.406     0.012   0.022   0.035
  16.450     0.011   0.021   0.048
  16.493     0.011   0.020   0.055
  16.537     0.010   0.019   0.056
  16.581     0.010   0.019   0.051
  16.624     0.009   0.018   0.044
  16.668     0.008   0.017   0.036
  16.712     0.007   0.015   0.032
  16.755     0.006   0.012   0.032
  16.799     0.005   0.009   0.035
  16.842     0.004   0.005   0.040
  16.886     0.003   0.002   0.043
  16.930     0.002  -0.000   0.043
  16.973     0.001  -0.002   0.039
  17.017     0.000  -0.004   0.033
  17.061    -0.001  -0.005   0.027
  17.104    -0.002  -0.007   0.022
  17.148    -0.004  -0.009   0.019
  17.191    -0.006  -0.012   0.019
  17.235    -0.007  -0.014   0.021
  17.279    -0.008  -0.016   0.024
  17.322    -0.009  -0.017   0.026
  17.366    -0.009  -0.018   0.028
  17.410    -0.009  -0.019   0.026
  17.453    -0.010  -0.019   0.018
  17.497    -0.010  -0.020   0.006
  17.541    -0.010  -0.020  -0.010
  17.584    -0.010  -0.020  -0.026
  17.628    -0.010  -0.019  -0.041
  17.671    -0.010  -0.018  -0.051
  17.715    -0.010  -0.016  -0.055
  17.759    -0.010  -0.013  -0.053
  17.802    -0.010  -0.010  -0.048
  17.846    -0.009  -0.007  -0.041
  17.890    -0.008  -0.003  -0.037
  17.933    -0.008   0.000  -0.035
  17.977    -0.007   0.003  -0.038
  18.021    -0.006   0.005  -0.043
  18.064    -0.006   0.007  -0.048
  18.108    -0.005   0.009  -0.052
  18.151    -0.005   0.010  -0.051
  18.195    -0.004   0.011  -0.045
  18.239    -0.003   0.013  -0.034
  18.282    -0.002   0.015  -0.021
  18.326    -0.001   0.016  -0.008
  18.370     0.000   0.018   0.003
  18.413     0.001   0.019   0.011
  18.457     0.002   0.020   0.017
  18.500     0.004   0.019   0.022
  18.544     0.005   0.018   0.026
  18.588     0.006   0.015   0.031
  18.631     0.008   0.012   0.035
  18.675     0.008   0.010   0.038
  18.719     0.009   0.008   0.037
  18.762     0.008   0.006   0.033
  18.806     0.008   0.005   0.026
  18.850     0.008   0.005   0.019
  18.893     0.008   0.004   0.015
  18.937     0.008   0.002   0.016
  18.980     0.009  -0.000   0.020
  19.024     0.009  -0.003   0.028
  19.068     0.009  -0.005   0.034
  19.111     0.009  -0.007   0.037
  19.155     0.008  -0.009   0.036
  19.199     0.007  -0.010   0.033
  19.242     0.007  -0.012   0.030
  19.286     0.006  -0.014   0.028
  19.330     0.006  -0.016   0.028
  19.373     0.005  -0.018   0.027
  19.417     0.004  -0.018   0.024
  19.460     0.003  -0.017   0.016
  19.504     0.002  -0.015   0.004
  19.548     0.001  -0.012  -0.010
  19.591     0.001  -0.009  -0.022
  19.635     0.000  -0.007  -0.030
  19.679    -0.000  -0.005  -0.034
  19.722    -0.001  -0.003  -0.035
  19.766    -0.001  -0.002  -0.034
  19.809    -0.002  -0.001  -0.034
  19.853    -0.003  -0.000  -0.034
  19.897    -0.003   0.000  -0.034
  19.940    -0.004   0.000  -0.034
  19.984    -0.004   0.000  -0.033
  20.028    -0.004  -0.000  -0.031
  20.071    -0.005   0.000  -0.031
  20.115    -0.005   0.002  -0.030
  20.159    -0.006   0.003  -0.030
  20.202    -0.008   0.006  -0.028
  20.246    -0.008   0.008  -0.024
  20.289    -0.009   0.009  -0.018
  20.333    -0.009   0.010  -0.011
  20.377    -0.008   0.010  -0.005
  20.420    -0.007   0.010   0.001
  20.464    -0.006   0.009   0.005
  20.508    -0.006   0.009   0.008
  20.551    -0.005   0.008   0.011
  20.595    -0.004   0.007   0.012
  20.639    -0.004   0.006   0.013
  20.682    -0.004   0.006   0.013
  20.726    -0.004   0.005   0.013
  20.769    -0.004   0.005   0.012
  20.813    -0.003   0.006   0.012
  20.857    -0.003   0.006   0.013
  20.900    -0.002   0.005   0.014
  20.944    -0.001   0.004   0.014
  20.988    -0.000   0.002   0.016
  21.031     0.000   0.000   0.017
  21.075     0.001  -0.002   0.021
  21.118     0.001  -0.003   0.025
  21.162     0.001  -0.004   0.030
  21.206     0.001  -0.005   0.034
  21.249     0.001  -0.006   0.036
  21.293     0.001  -0.007   0.034
  21.337     0.002  -0.008   0.029
  21.380     0.002  -0.008   0.022
  21.424     0.003  -0.008   0.014
  21.468     0.004  -0.008   0.007
  21.511     0.004  -0.007   0.003
  21.555     0.005  -0.007   0.001
  21.598     0.005  -0.006   0.000
  21.642     0.005  -0.006  -0.001
  21.686     0.006  -0.006  -0.003
  21.729     0.006  -0.006  -0.007
  21.773     0.007  -0.005  -0.011
  21.817     0.007  -0.004  -0.017
  21.860     0.008  -0.003  -0.021
  21.904     0.008  -0.001  -0.023
  21.948     0.007  -0.000  -0.024
  21.991     0.007   0.001  -0.025
  22.035     0.006   0.001  -0.027
  22.078     0.005   0.002  -0.030
  22.122     0.004   0.003  -0.033
  22.166     0.004   0.004  -0.035
  22.209     0.003   0.005  -0.034
  22.253     0.002   0.004  -0.030
  22.297     0.001   0.004  -0.023
  22.340     0.001   0.003  -0.015
  22.384     0.000   0.003  -0.006
  22.427     0.000   0.003   0.001
  22.471    -0.000   0.004   0.005
  22.515    -0.001   0.005   0.008
  22.558    -0.002   0.006   0.008
  22.602    -0.003   0.006   0.008
  22.646    -0.004   0.005   0.007
  22.689    -0.004   0.004   0.005
  22.733    -0.003   0.002   0.003
  22.777    -0.003   0.001  -0.001
  22.820    -0.003   0.000  -0.006
  22.864    -0.003   0.000  -0.009
  22.907    -0.004   0.001  -0.009
  22.951    -0.005   0.001  -0.007
  22.995    -0.006   0.001  -0.000
  23.038    -0.006   0.001   0.008
  23.082    -0.006  -0.000   0.016
  23.126    -0.007  -0.001   0.022
  23.169    -0.007  -0.001   0.026
  23.213    -0.006  -0.002   0.027
  23.257    -0.006  -0.001   0.027
  23.300    -0.006  -0.001   0.028
  23.344    -0.006  -0.001   0.030
  23.387    -0.005  -0.001   0.032
  23.431    -0.004  -0.001   0.034
  23.475    -0.003  -0.002   0.033
