 Substance:Al_U       2023/12/12 09:53:56                     
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     100000000 cell pairs, j_rand          10
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms  :    Al      U   
 Atom no.        1       2
 Occups:   0.9200  0.0800
 Weights: Xray            12.9937 91.9693
 Masks	:        1       1
 Smoothing FWHM [Å-1]  0.174532935    

 Output: Z(Q)
 Partials index      1  1    1  2    2  2
   Q [A-1]   Al_Al   Al_U   U_U
  62.265     0.001   0.003   0.020
  62.308     0.001   0.003   0.020
  62.352     0.000   0.002   0.018
  62.396    -0.000   0.000   0.014
  62.439    -0.001  -0.001   0.010
  62.483    -0.001  -0.002   0.005
  62.526    -0.001  -0.003   0.000
  62.570    -0.002  -0.004  -0.004
  62.614    -0.002  -0.005  -0.007
  62.657    -0.002  -0.005  -0.009
  62.701    -0.003  -0.006  -0.011
  62.745    -0.003  -0.006  -0.013
  62.788    -0.003  -0.006  -0.014
  62.832    -0.003  -0.006  -0.016
  62.875    -0.003  -0.005  -0.016
  62.919    -0.002  -0.005  -0.016
  62.963    -0.003  -0.005  -0.015
  63.006    -0.003  -0.005  -0.014
  63.050    -0.003  -0.004  -0.011
  63.094    -0.002  -0.004  -0.008
  63.137    -0.002  -0.003  -0.005
  63.181    -0.002  -0.003  -0.001
  63.225    -0.001  -0.002   0.003
  63.268    -0.001  -0.001   0.008
  63.312    -0.000  -0.000   0.012
  63.355     0.000   0.001   0.015
  63.399     0.000   0.002   0.018
  63.443     0.001   0.003   0.019
  63.486     0.001   0.004   0.020
  63.530     0.001   0.004   0.019
  63.574     0.001   0.004   0.018
  63.617     0.001   0.004   0.017
  63.661     0.001   0.003   0.014
  63.705     0.001   0.003   0.011
  63.748     0.001   0.003   0.006
  63.792     0.002   0.003  -0.000
  63.835     0.002   0.003  -0.007
  63.879     0.002   0.003  -0.013
  63.923     0.002   0.002  -0.017
  63.966     0.002   0.002  -0.021
  64.010     0.002   0.002  -0.022
  64.054     0.002   0.001  -0.022
  64.097     0.002   0.001  -0.020
  64.141     0.002   0.000  -0.018
  64.184     0.002   0.000  -0.014
  64.228     0.002   0.000  -0.009
  64.272     0.001   0.001  -0.004
  64.315     0.001   0.001   0.001
  64.359     0.001   0.002   0.006
  64.403     0.001   0.003   0.009
  64.446     0.001   0.003   0.012
  64.490     0.001   0.002   0.014
  64.534     0.001   0.002   0.015
  64.577     0.001   0.001   0.015
  64.621     0.000   0.000   0.014
  64.664     0.000   0.000   0.012
  64.708    -0.000   0.000   0.010
  64.752    -0.000   0.000   0.007
  64.795    -0.000   0.000   0.004
  64.839    -0.001  -0.000   0.000
  64.883    -0.001  -0.001  -0.003
  64.926    -0.001  -0.002  -0.005
  64.970    -0.001  -0.003  -0.007
  65.014    -0.001  -0.004  -0.009
  65.057    -0.002  -0.005  -0.010
  65.101    -0.002  -0.005  -0.010
  65.144    -0.002  -0.005  -0.010
  65.188    -0.002  -0.004  -0.011
  65.232    -0.002  -0.004  -0.010
  65.275    -0.002  -0.004  -0.009
  65.319    -0.002  -0.004  -0.007
  65.363    -0.002  -0.005  -0.005
  65.406    -0.002  -0.005  -0.003
  65.450    -0.002  -0.005  -0.002
  65.493    -0.002  -0.005  -0.001
  65.537    -0.002  -0.004  -0.001
  65.581    -0.002  -0.003   0.000
  65.624    -0.001  -0.001   0.002
  65.668    -0.001   0.000   0.006
  65.712    -0.001   0.001   0.011
  65.755    -0.000   0.002   0.016
  65.799     0.000   0.003   0.020
  65.843     0.000   0.004   0.022
  65.886     0.001   0.004   0.022
  65.930     0.001   0.005   0.019
  65.973     0.001   0.005   0.015
  66.017     0.001   0.005   0.010
  66.061     0.001   0.005   0.004
  66.104     0.001   0.005  -0.002
  66.148     0.001   0.005  -0.008
  66.192     0.001   0.005  -0.013
  66.235     0.001   0.005  -0.017
  66.279     0.001   0.004  -0.019
  66.323     0.001   0.004  -0.018
  66.366     0.002   0.004  -0.016
  66.410     0.002   0.003  -0.013
  66.453     0.002   0.003  -0.010
  66.497     0.002   0.002  -0.007
  66.541     0.002   0.002  -0.005
  66.584     0.002   0.001  -0.004
  66.628     0.002   0.000  -0.002
  66.672     0.001  -0.001  -0.001
  66.715     0.001  -0.001   0.000
  66.759     0.001  -0.002   0.001
  66.802     0.001  -0.002   0.002
  66.846     0.001  -0.002   0.003
  66.890     0.001  -0.002   0.003
  66.933     0.000  -0.002   0.004
  66.977     0.000  -0.003   0.004
  67.021    -0.000  -0.004   0.004
  67.064    -0.000  -0.004   0.004
  67.108    -0.000  -0.004   0.004
  67.152    -0.000  -0.004   0.003
  67.195    -0.000  -0.004   0.002
  67.239    -0.001  -0.003   0.001
  67.282    -0.001  -0.003   0.000
  67.326    -0.001  -0.003  -0.000
  67.370    -0.001  -0.004  -0.001
  67.413    -0.001  -0.004  -0.000
  67.457    -0.001  -0.004  -0.000
  67.501    -0.001  -0.004   0.001
  67.544    -0.002  -0.003   0.002
  67.588    -0.002  -0.002   0.003
  67.632    -0.002  -0.001   0.004
  67.675    -0.002  -0.001   0.004
  67.719    -0.002   0.000   0.004
  67.762    -0.001   0.000   0.003
  67.806    -0.001   0.000   0.002
  67.850    -0.001   0.000   0.001
  67.893    -0.001   0.000   0.001
  67.937    -0.001   0.000   0.000
  67.981    -0.001   0.000   0.001
  68.024    -0.001   0.001   0.000
  68.068    -0.001   0.002   0.000
  68.111    -0.001   0.003  -0.000
  68.155    -0.001   0.004  -0.000
  68.199    -0.001   0.005   0.000
  68.242    -0.000   0.005   0.001
  68.286    -0.000   0.005   0.002
  68.330     0.000   0.005   0.003
  68.373     0.001   0.005   0.003
  68.417     0.001   0.005   0.002
  68.461     0.001   0.005   0.001
  68.504     0.001   0.005  -0.000
  68.548     0.001   0.005  -0.002
  68.591     0.001   0.004  -0.005
  68.635     0.001   0.003  -0.006
  68.679     0.001   0.002  -0.008
  68.722     0.001   0.001  -0.009
  68.766     0.001   0.001  -0.009
  68.810     0.001   0.000  -0.010
  68.853     0.001  -0.000  -0.010
  68.897     0.001  -0.001  -0.009
  68.941     0.001  -0.002  -0.008
  68.984     0.001  -0.003  -0.007
  69.028     0.001  -0.003  -0.004
  69.071     0.001  -0.004  -0.002
  69.115     0.001  -0.004   0.001
  69.159     0.001  -0.004   0.002
  69.202     0.001  -0.004   0.003
  69.246     0.001  -0.004   0.003
  69.290     0.001  -0.004   0.004
  69.333     0.001  -0.004   0.006
  69.377     0.001  -0.004   0.007
  69.420     0.001  -0.004   0.009
  69.464     0.000  -0.004   0.011
  69.508     0.000  -0.004   0.011
  69.551     0.000  -0.003   0.010
  69.595    -0.000  -0.003   0.008
  69.639    -0.000  -0.002   0.007
  69.682    -0.000  -0.002   0.005
  69.726    -0.001  -0.002   0.004
  69.770    -0.001  -0.001   0.003
  69.813    -0.001  -0.001   0.002
  69.857    -0.001  -0.001   0.001
  69.900    -0.001   0.000   0.000
  69.944    -0.001   0.001  -0.001
  69.988    -0.001   0.002  -0.001
  70.031    -0.001   0.003  -0.000
  70.075    -0.001   0.003   0.000
  70.119    -0.001   0.004   0.001
  70.162    -0.001   0.004   0.000
  70.206    -0.001   0.003  -0.000
  70.250    -0.001   0.003  -0.002
  70.293    -0.001   0.003  -0.004
  70.337    -0.001   0.003  -0.005
  70.380    -0.001   0.003  -0.007
  70.424    -0.001   0.003  -0.008
  70.468    -0.001   0.003  -0.008
  70.511    -0.000   0.003  -0.008
  70.555    -0.000   0.003  -0.007
  70.599    -0.000   0.003  -0.006
  70.642    -0.000   0.003  -0.004
  70.686    -0.001   0.002  -0.003
  70.729    -0.001   0.001  -0.002
  70.773    -0.001   0.000  -0.001
  70.817    -0.000   0.000  -0.001
  70.860    -0.000   0.000  -0.001
  70.904    -0.000   0.000  -0.001
  70.948     0.000   0.001  -0.002
  70.991     0.000   0.001  -0.002
  71.035     0.000   0.000  -0.003
  71.079     0.001  -0.000  -0.003
  71.122     0.001  -0.001  -0.003
  71.166     0.001  -0.002  -0.002
  71.209     0.001  -0.002  -0.001
  71.253     0.000  -0.003   0.000
  71.297     0.001  -0.003   0.002
  71.340     0.001  -0.003   0.003
  71.384     0.001  -0.003   0.005
  71.428     0.001  -0.003   0.007
  71.471     0.001  -0.003   0.009
  71.515     0.001  -0.003   0.010
  71.559     0.001  -0.003   0.010
  71.602     0.001  -0.003   0.010
  71.646     0.001  -0.003   0.009
  71.689     0.001  -0.003   0.007
  71.733     0.001  -0.003   0.005
  71.777     0.001  -0.002   0.002
  71.820     0.001  -0.002   0.001
  71.864     0.001  -0.001  -0.001
  71.908     0.001  -0.000  -0.001
  71.951     0.001   0.000  -0.001
  71.995     0.001   0.001  -0.000
  72.038     0.001   0.001   0.001
  72.082     0.000   0.001   0.001
  72.126     0.000   0.001   0.001
  72.169     0.000   0.001   0.001
  72.213    -0.000   0.001   0.001
  72.257    -0.000   0.001  -0.000
  72.300    -0.001   0.001  -0.002
  72.344    -0.001   0.002  -0.003
  72.388    -0.001   0.002  -0.005
  72.431    -0.001   0.003  -0.007
  72.475    -0.001   0.004  -0.008
  72.518    -0.000   0.004  -0.008
  72.562    -0.000   0.004  -0.007
  72.606    -0.000   0.004  -0.005
  72.649    -0.001   0.003  -0.003
  72.693    -0.001   0.003  -0.002
  72.737    -0.001   0.002  -0.002
  72.780    -0.001   0.001  -0.003
  72.824    -0.001   0.001  -0.005
  72.868    -0.001   0.001  -0.007
  72.911    -0.001   0.001  -0.008
  72.955    -0.001   0.001  -0.008
  72.998    -0.001   0.001  -0.007
  73.042    -0.001   0.000  -0.005
  73.086    -0.001  -0.000  -0.002
  73.129    -0.000  -0.001   0.001
  73.173    -0.000  -0.001   0.003
  73.217    -0.000  -0.002   0.005
  73.260    -0.000  -0.002   0.006
  73.304    -0.000  -0.002   0.007
  73.347    -0.000  -0.002   0.008
  73.391    -0.000  -0.002   0.008
  73.435    -0.000  -0.002   0.008
  73.478    -0.000  -0.002   0.008
  73.522     0.000  -0.003   0.007
  73.566     0.000  -0.003   0.006
  73.609     0.000  -0.003   0.005
  73.653     0.001  -0.003   0.004
  73.697     0.001  -0.002   0.004
  73.740     0.000  -0.002   0.004
  73.784     0.000  -0.002   0.004
  73.827     0.001  -0.001   0.005
  73.871     0.001  -0.001   0.005
  73.915     0.001  -0.001   0.005
  73.958     0.001  -0.000   0.004
  74.002     0.001   0.000   0.002
  74.046     0.001   0.001  -0.000
  74.089     0.001   0.001  -0.002
  74.133     0.001   0.001  -0.005
  74.176     0.001   0.001  -0.006
  74.220     0.001   0.001  -0.008
  74.264     0.001   0.001  -0.008
  74.307     0.001   0.001  -0.007
  74.351     0.001   0.001  -0.006
  74.395     0.001   0.002  -0.004
  74.438     0.000   0.002  -0.002
  74.482     0.000   0.002  -0.000
  74.526     0.000   0.002   0.000
  74.569     0.000   0.002   0.000
  74.613     0.000   0.002  -0.001
  74.656    -0.000   0.001  -0.002
  74.700    -0.000   0.001  -0.003
  74.744    -0.000   0.001  -0.004
  74.787    -0.000   0.001  -0.005
  74.831    -0.000   0.001  -0.005
  74.875    -0.000   0.001  -0.006
  74.918    -0.000   0.001  -0.005
  74.962    -0.000   0.001  -0.005
  75.006    -0.000   0.001  -0.004
  75.049    -0.000   0.001  -0.004
  75.093    -0.000   0.000  -0.003
  75.136    -0.000  -0.000  -0.001
  75.180    -0.001  -0.001   0.000
  75.224    -0.001  -0.001   0.002
  75.267    -0.001  -0.001   0.004
  75.311    -0.001  -0.001   0.005
  75.355    -0.001  -0.001   0.006
  75.398    -0.001  -0.001   0.007
  75.442    -0.001  -0.001   0.006
  75.485    -0.001  -0.002   0.005
  75.529    -0.001  -0.002   0.005
  75.573    -0.000  -0.002   0.004
  75.616    -0.000  -0.002   0.004
  75.660    -0.001  -0.002   0.005
  75.704    -0.001  -0.002   0.005
  75.747    -0.001  -0.002   0.005
  75.791    -0.001  -0.002   0.005
  75.835    -0.000  -0.002   0.005
  75.878    -0.000  -0.001   0.004
  75.922    -0.000  -0.001   0.004
  75.965     0.000  -0.001   0.003
  76.009     0.000  -0.000   0.002
  76.053     0.000   0.000   0.001
  76.096     0.000   0.001  -0.000
  76.140     0.000   0.001  -0.001
  76.184     0.000   0.002  -0.001
  76.227     0.000   0.002  -0.002
  76.271     0.000   0.002  -0.002
  76.315     0.000   0.002  -0.004
  76.358     0.001   0.002  -0.005
  76.402     0.001   0.002  -0.007
  76.445     0.001   0.002  -0.008
  76.489     0.001   0.001  -0.008
  76.533     0.000   0.001  -0.008
  76.576     0.000   0.001  -0.006
  76.620     0.000   0.001  -0.005
  76.664     0.000   0.001  -0.003
  76.707     0.000   0.001  -0.002
  76.751     0.000   0.001  -0.001
  76.794     0.000   0.001  -0.001
  76.838     0.000   0.000  -0.001
  76.882     0.000  -0.000  -0.001
  76.925     0.000  -0.001  -0.001
  76.969     0.000  -0.001  -0.001
  77.013     0.000  -0.001  -0.000
  77.056     0.000  -0.001   0.001
  77.100     0.000  -0.001   0.002
  77.144     0.000  -0.001   0.002
  77.187     0.000  -0.001   0.002
  77.231     0.000  -0.001   0.001
  77.274     0.000  -0.001  -0.000
  77.318     0.000  -0.001  -0.001
  77.362     0.000  -0.001  -0.001
  77.405    -0.000  -0.001  -0.001
  77.449    -0.000  -0.001   0.000
  77.493    -0.000  -0.001   0.002
  77.536    -0.000  -0.001   0.003
  77.580    -0.000  -0.000   0.004
  77.624    -0.000  -0.001   0.005
  77.667     0.000  -0.001   0.005
  77.711     0.000  -0.001   0.006
  77.754     0.000  -0.000   0.006
  77.798     0.000  -0.000   0.006
  77.842    -0.000  -0.000   0.005
  77.885    -0.000  -0.000   0.004
  77.929    -0.000  -0.000   0.003
  77.973    -0.000  -0.000   0.002
  78.016    -0.000  -0.000   0.002
  78.060    -0.000   0.000   0.002
  78.103    -0.000   0.001   0.002
  78.147    -0.000   0.001   0.001
  78.191    -0.000   0.002   0.000
  78.234    -0.000   0.002  -0.001
  78.278    -0.000   0.002  -0.002
  78.322    -0.000   0.002  -0.002
  78.365    -0.000   0.001  -0.003
  78.409    -0.000   0.001  -0.002
  78.453    -0.000   0.001  -0.002
  78.496    -0.001   0.001  -0.002
  78.540    -0.001   0.001  -0.002
  78.583    -0.001   0.001  -0.002
  78.627    -0.001   0.001  -0.003
  78.671    -0.001   0.001  -0.004
  78.714    -0.000   0.001  -0.006
  78.758    -0.000   0.000  -0.008
  78.802    -0.000   0.000  -0.009
  78.845    -0.000  -0.000  -0.010
  78.889    -0.000  -0.000  -0.009
  78.933     0.000  -0.001  -0.007
  78.976     0.000  -0.001  -0.004
  79.020     0.000  -0.000  -0.000
  79.063     0.000  -0.000   0.003
  79.107     0.000  -0.000   0.005
  79.151     0.000  -0.000   0.007
  79.194     0.000  -0.000   0.007
  79.238     0.000  -0.001   0.006
  79.282     0.000  -0.001   0.005
  79.325     0.001  -0.001   0.003
  79.369     0.001  -0.001   0.002
  79.412     0.001  -0.001   0.001
  79.456     0.001  -0.001   0.000
  79.500     0.001  -0.001   0.001
  79.543     0.001  -0.001   0.001
  79.587     0.001  -0.001   0.001
  79.631     0.000  -0.001   0.001
  79.674     0.000  -0.001   0.001
  79.718     0.000  -0.001   0.001
  79.762     0.000  -0.001   0.001
  79.805    -0.000  -0.000   0.002
  79.849    -0.000  -0.000   0.003
  79.892    -0.000   0.000   0.004
  79.936    -0.000   0.001   0.004
  79.980    -0.000   0.001   0.003
  80.023    -0.000   0.001   0.002
  80.067     0.000   0.001   0.000
  80.111     0.000   0.001   0.000
  80.154     0.000   0.001   0.000
  80.198     0.000   0.001   0.002
  80.242     0.000   0.001   0.002
  80.285     0.000   0.001   0.002
  80.329     0.000   0.001   0.001
  80.372     0.000   0.001  -0.001
  80.416     0.000   0.001  -0.003
  80.460     0.000   0.001  -0.004
  80.503     0.000   0.001  -0.004
  80.547     0.000   0.001  -0.004
  80.591    -0.000   0.001  -0.002
  80.634    -0.000   0.001  -0.000
  80.678    -0.000   0.001   0.001
  80.721    -0.000   0.000   0.001
  80.765    -0.000   0.000   0.000
  80.809    -0.000  -0.000  -0.002
  80.852    -0.000  -0.000  -0.003
  80.896    -0.000  -0.000  -0.004
  80.940    -0.001  -0.000  -0.005
  80.983    -0.001  -0.000  -0.005
  81.027    -0.001  -0.001  -0.005
  81.071    -0.001  -0.001  -0.005
  81.114    -0.001  -0.002  -0.005
  81.158    -0.000  -0.002  -0.005
  81.201    -0.000  -0.002  -0.005
  81.245    -0.000  -0.002  -0.004
  81.289    -0.000  -0.001  -0.002
  81.332    -0.000  -0.001   0.000
  81.376    -0.000  -0.000   0.003
  81.420    -0.000  -0.000   0.006
  81.463    -0.000  -0.000   0.007
  81.507    -0.000  -0.000   0.008
  81.551    -0.000  -0.000   0.007
  81.594    -0.000  -0.001   0.006
  81.638    -0.000  -0.001   0.004
  81.681    -0.000  -0.001   0.003
  81.725    -0.000  -0.001   0.003
  81.769     0.000  -0.001   0.003
  81.812     0.000  -0.000   0.003
  81.856     0.000  -0.000   0.002
  81.900     0.000   0.000   0.001
  81.943     0.000   0.001   0.000
  81.987     0.000   0.001  -0.000
  82.030     0.000   0.001   0.000
  82.074     0.000   0.001   0.001
  82.118     0.000   0.002   0.001
  82.161     0.001   0.002   0.001
  82.205     0.001   0.002   0.001
  82.249     0.001   0.002   0.000
  82.292     0.000   0.001  -0.001
  82.336     0.000   0.000  -0.000
  82.380     0.000  -0.000   0.000
  82.423     0.000  -0.001   0.001
  82.467     0.000  -0.001   0.002
  82.510     0.000  -0.000   0.001
  82.554     0.000   0.000  -0.001
  82.598     0.001   0.001  -0.003
  82.641     0.001   0.001  -0.005
  82.685     0.001   0.001  -0.006
  82.729     0.000   0.001  -0.006
  82.772     0.000   0.001  -0.005
  82.816     0.000   0.000  -0.004
  82.860     0.000   0.000  -0.002
  82.903    -0.000   0.000  -0.001
  82.947    -0.000   0.000   0.001
  82.990    -0.000   0.000   0.002
  83.034     0.000   0.000   0.002
  83.078     0.000  -0.000   0.001
  83.121     0.000  -0.001  -0.000
  83.165     0.000  -0.001  -0.002
  83.209    -0.000  -0.001  -0.004
  83.252    -0.000  -0.001  -0.005
  83.296    -0.000  -0.001  -0.005
  83.339    -0.000  -0.001  -0.004
  83.383    -0.001  -0.001  -0.003
  83.427    -0.001  -0.001  -0.002
  83.470    -0.001  -0.001   0.000
  83.514    -0.001  -0.001   0.002
  83.558    -0.001  -0.002   0.004
  83.601    -0.001  -0.002   0.005
  83.645    -0.001  -0.001   0.006
  83.689    -0.001  -0.001   0.005
  83.732    -0.001  -0.001   0.003
  83.776    -0.000  -0.000   0.001
  83.819    -0.000   0.000  -0.000
  83.863    -0.000   0.000  -0.000
  83.907    -0.000   0.001   0.001
  83.950    -0.001   0.001   0.002
  83.994    -0.001   0.001   0.004
  84.038    -0.001   0.001   0.005
  84.081    -0.000   0.001   0.006
  84.125    -0.000   0.001   0.005
  84.169     0.000   0.001   0.004
  84.212     0.001   0.001   0.003
  84.256     0.001   0.001   0.001
  84.299     0.001   0.001  -0.001
  84.343     0.001   0.000  -0.002
  84.387     0.001   0.000  -0.003
  84.430     0.001   0.000  -0.004
  84.474     0.000   0.001  -0.003
  84.518     0.000   0.001  -0.002
  84.561     0.000   0.001  -0.001
  84.605     0.000   0.001   0.001
  84.648     0.000   0.001   0.002
  84.692     0.000   0.001   0.002
  84.736     0.000   0.001   0.001
  84.779     0.000   0.000  -0.000
  84.823     0.000  -0.000  -0.002
  84.867     0.000  -0.000  -0.003
  84.910     0.000  -0.000  -0.004
  84.954     0.000  -0.001  -0.004
  84.998     0.000  -0.001  -0.004
  85.041     0.000  -0.001  -0.005
  85.085     0.000  -0.001  -0.005
  85.128     0.000  -0.001  -0.005
  85.172     0.000  -0.001  -0.005
  85.216    -0.000   0.000  -0.004
  85.259    -0.000   0.001  -0.003
  85.303    -0.000   0.001  -0.002
  85.347    -0.000   0.001  -0.001
  85.390    -0.000   0.001   0.001
  85.434    -0.000  -0.000   0.003
  85.478     0.000  -0.001   0.004
  85.521    -0.000  -0.001   0.004
  85.565    -0.000  -0.001   0.004
  85.608    -0.000  -0.001   0.003
  85.652    -0.000  -0.001   0.003
  85.696    -0.000  -0.001   0.003
  85.739    -0.000  -0.001   0.003
  85.783    -0.000  -0.001   0.003
  85.827    -0.000  -0.001   0.003
  85.870    -0.000  -0.000   0.002
  85.914    -0.000  -0.000   0.002
  85.957    -0.000   0.000   0.001
  86.001    -0.000   0.000   0.001
  86.045    -0.000  -0.000   0.002
  86.088    -0.000  -0.000   0.003
  86.132    -0.000  -0.000   0.003
  86.176    -0.000  -0.000   0.002
  86.219    -0.000  -0.000   0.001
  86.263    -0.000   0.000  -0.001
  86.307    -0.000   0.001  -0.003
  86.350    -0.000   0.001  -0.004
  86.394    -0.000   0.001  -0.003
  86.437    -0.000   0.001  -0.002
  86.481    -0.000   0.001  -0.000
  86.525    -0.000   0.001   0.001
  86.568    -0.000   0.001   0.002
  86.612    -0.000   0.000   0.002
  86.656    -0.000   0.000   0.002
  86.699    -0.000   0.000   0.001
  86.743    -0.000   0.000   0.000
  86.786    -0.000   0.001  -0.000
  86.830     0.000   0.001  -0.001
  86.874     0.000   0.001  -0.001
  86.917     0.000   0.001  -0.002
  86.961     0.000   0.001  -0.002
  87.005     0.000   0.001  -0.002
  87.048     0.000   0.000  -0.002
  87.092     0.000  -0.000  -0.002
  87.136     0.000  -0.001  -0.001
  87.179     0.000  -0.001  -0.001
  87.223     0.000  -0.001  -0.001
  87.266     0.000  -0.000  -0.001
  87.310     0.000  -0.000  -0.002
  87.354     0.000  -0.000  -0.003
  87.397     0.000   0.000  -0.004
  87.441     0.000   0.000  -0.005
  87.485     0.000   0.000  -0.005
  87.528     0.000  -0.000  -0.004
  87.572     0.000  -0.000  -0.002
  87.616     0.000  -0.000   0.000
  87.659    -0.000  -0.001   0.003
  87.703    -0.000  -0.001   0.004
  87.746    -0.000  -0.001   0.005
  87.790    -0.000  -0.001   0.005
  87.834    -0.000  -0.001   0.004
  87.877    -0.000  -0.001   0.003
  87.921    -0.000  -0.001   0.002
  87.965    -0.000  -0.001   0.003
  88.008    -0.000  -0.001   0.004
  88.052    -0.000  -0.001   0.005
  88.095    -0.000  -0.001   0.006
  88.139     0.000  -0.001   0.006
  88.183     0.000  -0.000   0.005
  88.226     0.000  -0.000   0.003
  88.270    -0.000   0.000   0.002
  88.314    -0.000   0.000  -0.000
  88.357    -0.000   0.001  -0.002
  88.401    -0.000   0.001  -0.004
  88.445    -0.000   0.001  -0.005
  88.488    -0.000   0.001  -0.005
  88.532    -0.000   0.000  -0.006
  88.575    -0.000   0.000  -0.006
  88.619     0.000   0.000  -0.005
  88.663     0.000   0.000  -0.003
  88.706     0.000   0.000  -0.001
  88.750     0.000   0.000   0.002
  88.794     0.000   0.000   0.004
  88.837     0.000   0.001   0.006
  88.881     0.000   0.001   0.006
  88.925     0.000   0.001   0.006
  88.968    -0.000   0.001   0.004
  89.012    -0.000   0.001   0.002
  89.055    -0.000   0.001   0.000
  89.099    -0.000   0.001  -0.002
  89.143    -0.000   0.001  -0.004
  89.186    -0.000   0.001  -0.005
  89.230    -0.000   0.000  -0.005
  89.274    -0.000   0.000  -0.005
  89.317    -0.000  -0.000  -0.005
  89.361    -0.000  -0.000  -0.004
  89.404     0.000  -0.000  -0.003
  89.448     0.000  -0.000  -0.003
  89.492     0.000  -0.000  -0.002
  89.535    -0.000  -0.000  -0.001
  89.579    -0.000  -0.001  -0.000
  89.623    -0.000  -0.001   0.000
  89.666    -0.000  -0.001   0.001
  89.710    -0.000  -0.001   0.001
  89.754    -0.000  -0.001   0.002
  89.797    -0.000  -0.001   0.001
  89.841    -0.000  -0.001   0.001
  89.884    -0.000  -0.001   0.000
  89.928    -0.000  -0.001   0.000
  89.972    -0.000  -0.001   0.000
  90.015    -0.000  -0.001   0.001
  90.059    -0.000  -0.001   0.003
  90.103    -0.000  -0.001   0.005
  90.146    -0.000  -0.001   0.006
  90.190    -0.000  -0.001   0.007
  90.234     0.000  -0.000   0.006
  90.277     0.000   0.000   0.005
  90.321     0.000   0.000   0.003
  90.364     0.000   0.001   0.001
  90.408     0.000   0.001  -0.001
  90.452     0.000   0.001  -0.002
  90.495     0.000   0.001  -0.004
  90.539     0.000   0.001  -0.005
  90.583     0.000   0.001  -0.006
  90.626     0.000   0.000  -0.005
  90.670     0.000   0.000  -0.004
  90.713     0.000   0.000  -0.002
  90.757     0.000   0.000  -0.000
  90.801     0.000   0.001   0.002
  90.844     0.001   0.001   0.003
  90.888     0.001   0.001   0.004
  90.932     0.001   0.001   0.004
  90.975     0.000   0.001   0.004
  91.019     0.000   0.001   0.003
  91.063     0.000   0.001   0.002
  91.106    -0.000   0.001   0.001
  91.150    -0.000   0.000  -0.001
  91.193    -0.000   0.000  -0.002
  91.237     0.000  -0.000  -0.002
  91.281     0.000  -0.000  -0.003
  91.324     0.000  -0.000  -0.003
  91.368     0.000  -0.000  -0.002
  91.412    -0.000  -0.000  -0.002
  91.455    -0.000  -0.000  -0.003
  91.499    -0.000  -0.000  -0.004
  91.543    -0.001  -0.000  -0.004
  91.586    -0.001  -0.000  -0.005
  91.630    -0.001  -0.000  -0.005
  91.673    -0.000  -0.000  -0.004
  91.717    -0.000  -0.001  -0.003
  91.761    -0.000  -0.001  -0.001
  91.804    -0.000  -0.001   0.001
  91.848    -0.000  -0.001   0.002
  91.892    -0.000  -0.001   0.003
  91.935    -0.000  -0.001   0.003
  91.979    -0.000  -0.001   0.004
  92.022    -0.000  -0.001   0.004
  92.066    -0.000  -0.001   0.004
  92.110    -0.000  -0.001   0.005
  92.153    -0.000  -0.000   0.005
  92.197    -0.000  -0.000   0.004
  92.241    -0.000  -0.000   0.003
  92.284    -0.000   0.000   0.002
  92.328    -0.000   0.000   0.000
  92.372    -0.000   0.000  -0.001
  92.415    -0.000   0.000  -0.001
  92.459    -0.000   0.000  -0.001
  92.502    -0.000   0.000   0.000
  92.546     0.000   0.000   0.002
  92.590     0.000   0.000   0.003
  92.633     0.000   0.000   0.003
  92.677     0.000   0.000   0.002
  92.721     0.000  -0.000   0.000
  92.764     0.000   0.000  -0.001
  92.808     0.000   0.000  -0.002
  92.852     0.000   0.001  -0.003
  92.895     0.000   0.001  -0.002
  92.939     0.000   0.002  -0.001
  92.982     0.000   0.002  -0.001
  93.026     0.000   0.001  -0.001
  93.070     0.000   0.001  -0.001
  93.113     0.000   0.000  -0.001
  93.157     0.000  -0.000  -0.002
  93.201     0.000  -0.001  -0.002
  93.244     0.000  -0.001  -0.002
  93.288     0.000  -0.001  -0.002
  93.331     0.000  -0.001  -0.001
  93.375     0.000  -0.001  -0.001
  93.419     0.000  -0.001  -0.001
  93.462     0.000  -0.000   0.000
  93.506     0.000  -0.000   0.001
  93.550     0.000   0.000   0.002
  93.593     0.000   0.000   0.002
  93.637     0.000   0.000   0.002
  93.681     0.000   0.000   0.000
  93.724     0.000  -0.000  -0.002
  93.768     0.000  -0.000  -0.003
  93.811     0.000  -0.000  -0.004
  93.855     0.000  -0.000  -0.004
  93.899     0.000  -0.001  -0.003
  93.942     0.000  -0.001  -0.002
  93.986    -0.000  -0.000  -0.001
  94.030    -0.000  -0.000  -0.000
  94.073    -0.000  -0.000  -0.001
  94.117    -0.000   0.000  -0.001
  94.161    -0.000   0.000  -0.001
  94.204    -0.000   0.000   0.000
  94.248    -0.000   0.000   0.002
  94.291    -0.000  -0.000   0.003
  94.335    -0.000  -0.000   0.005
  94.379    -0.000   0.000   0.006
  94.422    -0.000   0.000   0.007
  94.466    -0.000   0.000   0.006
  94.510    -0.000   0.000   0.005
