 Substance:Cu_48       2023/01/05 09:09:41                     
 Input files: ./data/cu_c48_n0120.dat to ./data/cu_c48_n0120.dat step           1
 Supercell size:          48
 Integration Monte Carlo     100000000 cell pairs
 Atoms/unit_cell:           4
 Atoms  :    Cu1     Cu2     Cu3     Cu4 
 Atom no.        1       2       3       4
 Occup's:   1.0000  1.0000  1.0000  1.0000
 at_weights:   1.0000  1.0000  1.0000  1.0000
 Masks	:        1       1       1       1

 Atom pair partials:
                       1
                       1
   r(A^)   PDF_tot   PDF partials (cf. above)
   8.660    0.562    0.028
   8.680    0.513    0.039
   8.700    0.489    0.053
   8.720    0.486    0.070
   8.740    0.507    0.088
   8.760    0.546    0.110
   8.780    0.603    0.130
   8.800    0.670    0.155
   8.820    0.738    0.176
   8.840    0.800    0.194
   8.860    0.853    0.210
   8.880    0.890    0.216
   8.900    0.898    0.218
   8.920    0.892    0.211
   8.940    0.878    0.202
   8.960    0.852    0.188
   8.980    0.819    0.168
   9.000    0.805    0.149
   9.020    0.806    0.125
   9.040    0.840    0.105
   9.060    0.910    0.082
   9.080    1.015    0.063
   9.100    1.155    0.048
   9.120    1.336    0.036
   9.140    1.539    0.025
   9.160    1.755    0.018
   9.180    1.971    0.012
   9.200    2.154    0.008
   9.220    2.299    0.005
   9.240    2.392    0.003
   9.260    2.417    0.002
   9.280    2.385    0.001
   9.300    2.277    0.001
   9.320    2.116    0.000
   9.340    1.922    0.000
   9.360    1.687    0.000
   9.380    1.441    0.000
   9.400    1.199    0.000
   9.420    0.966    0.000
   9.440    0.761    0.000
   9.460    0.581    0.000
   9.480    0.432    0.000
   9.500    0.313    0.000
   9.520    0.221    0.000
   9.540    0.153    0.000
   9.560    0.106    0.000
   9.580    0.078    0.000
   9.600    0.062    0.000
   9.620    0.059    0.000
   9.640    0.068    0.000
   9.660    0.087    0.000
   9.680    0.120    0.000
   9.700    0.166    0.000
   9.720    0.226    0.000
   9.740    0.306    0.000
   9.760    0.402    0.000
   9.780    0.517    0.000
   9.800    0.638    0.000
   9.820    0.775    0.000
   9.840    0.915    0.000
   9.860    1.045    0.000
   9.880    1.163    0.000
   9.900    1.257    0.001
   9.920    1.331    0.001
   9.940    1.360    0.001
   9.960    1.361    0.002
   9.980    1.327    0.003
  10.000    1.256    0.005
  10.020    1.164    0.008
  10.040    1.049    0.011
  10.060    0.933    0.016
  10.080    0.819    0.020
  10.100    0.712    0.028
  10.120    0.621    0.035
  10.140    0.545    0.042
  10.160    0.489    0.051
  10.180    0.446    0.059
  10.200    0.420    0.066
  10.220    0.407    0.074
  10.240    0.399    0.079
  10.260    0.395    0.081
  10.280    0.396    0.082
  10.300    0.395    0.079
  10.320    0.400    0.076
  10.340    0.413    0.068
  10.360    0.432    0.061
  10.380    0.468    0.054
  10.400    0.510    0.046
  10.420    0.578    0.037
  10.440    0.656    0.030
  10.460    0.749    0.023
  10.480    0.851    0.018
  10.500    0.954    0.014
  10.520    1.051    0.010
  10.540    1.130    0.008
  10.560    1.185    0.008
  10.580    1.228    0.008
  10.600    1.232    0.009
  10.620    1.212    0.012
  10.640    1.162    0.017
  10.660    1.103    0.025
  10.680    1.031    0.034
  10.700    0.953    0.044
  10.720    0.891    0.058
  10.740    0.830    0.074
  10.760    0.794    0.092
  10.780    0.768    0.110
  10.800    0.756    0.126
  10.820    0.764    0.142
  10.840    0.778    0.155
  10.860    0.789    0.167
  10.880    0.808    0.175
  10.900    0.818    0.176
  10.920    0.825    0.171
  10.940    0.835    0.165
  10.960    0.849    0.153
  10.980    0.868    0.138
  11.000    0.899    0.120
  11.020    0.950    0.103
  11.040    1.021    0.085
  11.060    1.106    0.068
  11.080    1.208    0.053
  11.100    1.319    0.042
  11.120    1.424    0.032
  11.140    1.518    0.024
  11.160    1.590    0.019
  11.180    1.633    0.015
  11.200    1.640    0.015
  11.220    1.611    0.016
  11.240    1.548    0.019
  11.260    1.460    0.024
  11.280    1.354    0.030
  11.300    1.234    0.039
  11.320    1.122    0.050
  11.340    1.008    0.061
  11.360    0.910    0.073
  11.380    0.828    0.087
  11.400    0.766    0.097
  11.420    0.722    0.109
  11.440    0.685    0.116
  11.460    0.665    0.123
  11.480    0.647    0.126
  11.500    0.636    0.125
  11.520    0.630    0.121
  11.540    0.629    0.114
  11.560    0.636    0.105
  11.580    0.653    0.094
  11.600    0.671    0.082
  11.620    0.707    0.069
  11.640    0.753    0.057
  11.660    0.802    0.045
  11.680    0.857    0.036
  11.700    0.913    0.029
  11.720    0.960    0.023
  11.740    0.994    0.018
  11.760    1.017    0.017
  11.780    1.014    0.016
  11.800    0.993    0.018
  11.820    0.956    0.022
  11.840    0.908    0.027
  11.860    0.852    0.034
  11.880    0.797    0.044
  11.900    0.740    0.053
  11.920    0.692    0.065
  11.940    0.653    0.076
  11.960    0.623    0.086
  11.980    0.601    0.096
  12.000    0.587    0.104
  12.020    0.579    0.108
  12.040    0.578    0.110
  12.060    0.579    0.111
  12.080    0.583    0.107
  12.100    0.592    0.100
  12.120    0.607    0.093
  12.140    0.628    0.082
  12.160    0.655    0.072
  12.180    0.693    0.060
  12.200    0.731    0.050
  12.220    0.779    0.040
  12.240    0.821    0.032
  12.260    0.856    0.025
  12.280    0.890    0.019
  12.300    0.901    0.014
  12.320    0.900    0.012
  12.340    0.883    0.010
  12.360    0.844    0.010
  12.380    0.792    0.010
  12.400    0.725    0.012
  12.420    0.658    0.015
  12.440    0.585    0.017
  12.460    0.514    0.020
  12.480    0.454    0.023
  12.500    0.402    0.026
  12.520    0.366    0.029
  12.540    0.343    0.032
  12.560    0.332    0.033
  12.580    0.342    0.034
  12.600    0.367    0.033
  12.620    0.412    0.032
  12.640    0.473    0.030
  12.660    0.558    0.028
  12.680    0.658    0.024
  12.700    0.766    0.021
  12.720    0.892    0.018
  12.740    1.017    0.015
  12.760    1.139    0.013
  12.780    1.247    0.012
  12.800    1.333    0.011
  12.820    1.398    0.011
  12.840    1.426    0.013
  12.860    1.421    0.015
  12.880    1.391    0.020
  12.900    1.330    0.026
  12.920    1.244    0.033
  12.940    1.154    0.041
  12.960    1.056    0.050
  12.980    0.961    0.059
  13.000    0.877    0.068
  13.020    0.806    0.078
  13.040    0.751    0.085
  13.060    0.713    0.090
  13.080    0.697    0.094
  13.100    0.696    0.094
  13.120    0.719    0.094
  13.140    0.753    0.088
  13.160    0.811    0.082
  13.180    0.885    0.076
  13.200    0.971    0.066
  13.220    1.068    0.057
  13.240    1.174    0.049
  13.260    1.279    0.043
  13.280    1.374    0.036
  13.300    1.456    0.032
  13.320    1.524    0.030
  13.340    1.555    0.031
  13.360    1.566    0.035
  13.380    1.548    0.042
  13.400    1.505    0.053
  13.420    1.445    0.064
  13.440    1.378    0.079
  13.460    1.302    0.095
  13.480    1.231    0.111
  13.500    1.160    0.129
  13.520    1.097    0.143
  13.540    1.039    0.155
  13.560    0.992    0.167
  13.580    0.943    0.170
  13.600    0.897    0.171
  13.620    0.850    0.167
  13.640    0.802    0.158
  13.660    0.755    0.144
  13.680    0.708    0.131
  13.700    0.659    0.113
  13.720    0.617    0.097
  13.740    0.578    0.079
  13.760    0.542    0.063
  13.780    0.511    0.050
  13.800    0.476    0.038
  13.820    0.448    0.028
  13.840    0.417    0.020
  13.860    0.384    0.014
  13.880    0.352    0.010
  13.900    0.318    0.007
  13.920    0.283    0.004
  13.940    0.255    0.003
  13.960    0.223    0.002
