 Substance:Cu       2022/06/11 09:05:19                     
 Input files: cu_48_n0121.dat to ./data/cu_48_n0121.dat step           1
 Supercell size:          48
 Integration Monte Carlo      20000000 cell pairs
 Atoms/unit_cell:           4
 Atoms  :    Cu1     Cu2     Cu3     Cu4 
 Atom no.        1       2       3       4
 Occup's:   1.0000  1.0000  1.0000  1.0000
 at_weights:   1.0000  1.0000  1.0000  1.0000
 Masks	:        1       1       1       1

 Atom pair partials:
                       1
                       1
   r(A^)   PDF_tot   PDF partials (cf. above)
  12.220    0.903    0.048
  12.240    0.955    0.038
  12.260    1.003    0.029
  12.280    1.043    0.022
  12.300    1.056    0.017
  12.320    1.051    0.013
  12.340    1.026    0.011
  12.360    0.985    0.012
  12.380    0.921    0.012
  12.400    0.854    0.014
  12.420    0.765    0.017
  12.440    0.687    0.020
  12.460    0.601    0.025
  12.480    0.534    0.028
  12.500    0.475    0.031
  12.520    0.429    0.036
  12.540    0.405    0.040
  12.560    0.396    0.041
  12.580    0.406    0.040
  12.600    0.434    0.042
  12.620    0.488    0.039
  12.640    0.559    0.037
  12.660    0.652    0.032
  12.680    0.774    0.029
  12.700    0.902    0.025
  12.720    1.049    0.022
  12.740    1.194    0.018
  12.760    1.341    0.015
  12.780    1.467    0.013
  12.800    1.580    0.013
  12.820    1.651    0.013
  12.840    1.684    0.016
  12.860    1.672    0.018
  12.880    1.634    0.023
  12.900    1.559    0.031
  12.920    1.468    0.038
  12.940    1.350    0.049
  12.960    1.234    0.058
  12.980    1.128    0.070
  13.000    1.027    0.081
  13.020    0.944    0.091
  13.040    0.876    0.100
  13.060    0.835    0.106
  13.080    0.817    0.111
  13.100    0.813    0.110
  13.120    0.835    0.109
  13.140    0.885    0.103
  13.160    0.949    0.095
  13.180    1.040    0.086
  13.200    1.143    0.079
  13.220    1.265    0.067
  13.240    1.388    0.057
  13.260    1.513    0.048
  13.280    1.629    0.043
  13.300    1.733    0.036
  13.320    1.796    0.035
  13.340    1.839    0.037
  13.360    1.858    0.042
  13.380    1.833    0.050
  13.400    1.787    0.062
  13.420    1.721    0.076
  13.440    1.634    0.094
  13.460    1.553    0.114
  13.480    1.454    0.133
  13.500    1.379    0.156
  13.520    1.306    0.173
  13.540    1.248    0.190
  13.560    1.186    0.200
  13.580    1.133    0.207
  13.600    1.072    0.205
  13.620    1.013    0.197
  13.640    0.958    0.189
  13.660    0.902    0.175
  13.680    0.842    0.156
  13.700    0.786    0.138
  13.720    0.729    0.114
  13.740    0.684    0.095
  13.760    0.645    0.077
  13.780    0.601    0.061
  13.800    0.559    0.045
  13.820    0.529    0.033
  13.840    0.487    0.024
  13.860    0.452    0.017
  13.880    0.409    0.011
  13.900    0.373    0.008
  13.920    0.331    0.005
  13.940    0.295    0.003
  13.960    0.259    0.002
  13.980    0.237    0.001
  14.000    0.218    0.001
  14.020    0.220    0.000
  14.040    0.234    0.000
  14.060    0.271    0.000
  14.080    0.323    0.000
  14.100    0.406    0.000
  14.120    0.505    0.000
  14.140    0.624    0.000
  14.160    0.764    0.000
  14.180    0.905    0.000
  14.200    1.050    0.000
  14.220    1.189    0.001
  14.240    1.310    0.001
  14.260    1.407    0.002
  14.280    1.469    0.003
  14.300    1.492    0.004
  14.320    1.485    0.005
  14.340    1.435    0.007
  14.360    1.354    0.009
  14.380    1.242    0.010
  14.400    1.128    0.013
  14.420    1.002    0.015
  14.440    0.872    0.017
  14.460    0.762    0.018
  14.480    0.681    0.019
  14.500    0.614    0.021
  14.520    0.578    0.022
  14.540    0.582    0.022
  14.560    0.613    0.022
  14.580    0.673    0.021
  14.600    0.760    0.021
  14.620    0.867    0.019
  14.640    0.981    0.018
  14.660    1.106    0.018
  14.680    1.227    0.019
  14.700    1.344    0.021
  14.720    1.431    0.024
  14.740    1.493    0.030
  14.760    1.534    0.038
  14.780    1.554    0.047
  14.800    1.536    0.059
  14.820    1.502    0.075
  14.840    1.449    0.089
  14.860    1.388    0.107
  14.880    1.324    0.122
  14.900    1.255    0.137
  14.920    1.198    0.151
  14.940    1.145    0.161
  14.960    1.089    0.165
  14.980    1.050    0.169
  15.000    1.015    0.166
  15.020    0.990    0.159
  15.040    0.961    0.148
  15.060    0.946    0.136
  15.080    0.933    0.120
  15.100    0.920    0.103
  15.120    0.924    0.090
  15.140    0.918    0.077
  15.160    0.909    0.068
  15.180    0.900    0.062
  15.200    0.893    0.056
  15.220    0.886    0.058
  15.240    0.869    0.060
  15.260    0.850    0.066
  15.280    0.835    0.073
  15.300    0.825    0.083
  15.320    0.824    0.093
  15.340    0.825    0.101
  15.360    0.845    0.110
  15.380    0.870    0.117
  15.400    0.910    0.119
  15.420    0.966    0.120
  15.440    1.037    0.115
  15.460    1.113    0.110
  15.480    1.213    0.101
  15.500    1.308    0.093
  15.520    1.419    0.083
  15.540    1.507    0.072
  15.560    1.589    0.061
  15.580    1.663    0.053
  15.600    1.702    0.048
  15.620    1.721    0.042
  15.640    1.691    0.041
  15.660    1.647    0.041
  15.680    1.573    0.045
  15.700    1.474    0.048
  15.720    1.358    0.053
  15.740    1.237    0.060
  15.760    1.115    0.065
  15.780    1.009    0.070
  15.800    0.911    0.074
  15.820    0.833    0.076
  15.840    0.768    0.077
  15.860    0.722    0.075
  15.880    0.693    0.071
  15.900    0.682    0.066
  15.920    0.676    0.059
  15.940    0.685    0.054
  15.960    0.692    0.048
  15.980    0.711    0.042
  16.000    0.724    0.038
  16.020    0.732    0.036
  16.040    0.733    0.034
  16.060    0.731    0.036
  16.080    0.720    0.038
  16.100    0.698    0.042
  16.120    0.678    0.046
  16.140    0.650    0.052
  16.160    0.625    0.058
  16.180    0.603    0.062
  16.200    0.588    0.068
  16.220    0.572    0.069
  16.240    0.571    0.071
  16.260    0.570    0.072
  16.280    0.576    0.069
  16.300    0.591    0.067
  16.320    0.611    0.062
  16.340    0.636    0.057
  16.360    0.667    0.054
  16.380    0.688    0.050
  16.400    0.717    0.050
  16.420    0.741    0.049
  16.440    0.769    0.052
  16.460    0.785    0.057
  16.480    0.805    0.066
  16.500    0.825    0.075
  16.520    0.842    0.085
  16.540    0.857    0.097
  16.560    0.877    0.109
  16.580    0.906    0.118
  16.600    0.942    0.128
  16.620    0.976    0.132
  16.640    1.030    0.136
  16.660    1.080    0.134
  16.680    1.153    0.130
  16.700    1.222    0.122
  16.720    1.299    0.115
  16.740    1.370    0.103
  16.760    1.438    0.093
  16.780    1.494    0.081
  16.800    1.535    0.070
  16.820    1.564    0.062
  16.840    1.556    0.055
  16.860    1.533    0.052
  16.880    1.490    0.049
  16.900    1.412    0.049
  16.920    1.336    0.050
  16.940    1.249    0.055
  16.960    1.172    0.057
  16.980    1.096    0.061
  17.000    1.035    0.064
  17.020    1.007    0.066
  17.040    0.992    0.066
  17.060    1.001    0.064
  17.080    1.031    0.061
  17.100    1.080    0.057
  17.120    1.141    0.052
  17.140    1.211    0.045
  17.160    1.270    0.039
  17.180    1.321    0.033
  17.200    1.354    0.027
  17.220    1.362    0.021
  17.240    1.335    0.015
  17.260    1.293    0.012
  17.280    1.220    0.009
  17.300    1.137    0.006
  17.320    1.042    0.004
  17.340    0.936    0.003
  17.360    0.846    0.002
  17.380    0.764    0.001
  17.400    0.701    0.001
  17.420    0.668    0.001
  17.440    0.656    0.001
  17.460    0.680    0.001
  17.480    0.715    0.002
  17.500    0.766    0.003
  17.520    0.830    0.004
  17.540    0.901    0.006
  17.560    0.964    0.009
  17.580    1.013    0.013
  17.600    1.054    0.016
  17.620    1.071    0.021
  17.640    1.068    0.026
  17.660    1.045    0.032
  17.680    1.020    0.038
  17.700    0.987    0.044
  17.720    0.943    0.049
  17.740    0.904    0.053
  17.760    0.881    0.057
  17.780    0.871    0.059
  17.800    0.876    0.060
  17.820    0.895    0.059
  17.840    0.930    0.058
  17.860    0.976    0.055
  17.880    1.036    0.051
  17.900    1.087    0.047
  17.920    1.143    0.045
  17.940    1.183    0.043
  17.960    1.209    0.042
  17.980    1.231    0.042
  18.000    1.215    0.043
  18.020    1.189    0.046
  18.040    1.148    0.051
  18.060    1.093    0.056
  18.080    1.033    0.060
  18.100    0.964    0.065
  18.120    0.902    0.070
  18.140    0.838    0.071
  18.160    0.790    0.074
  18.180    0.747    0.074
  18.200    0.721    0.073
  18.220    0.700    0.071
  18.240    0.695    0.069
  18.260    0.700    0.068
  18.280    0.710    0.067
  18.300    0.728    0.069
  18.320    0.750    0.072
  18.340    0.780    0.078
  18.360    0.807    0.086
  18.380    0.839    0.097
  18.400    0.872    0.111
  18.420    0.903    0.122
  18.440    0.933    0.135
  18.460    0.964    0.148
  18.480    0.995    0.156
